# alpha  energy  cpu_seconds  acceptance
0.2 215.7199544 1.8615306 0.83363
0.2101694915 208.3463593 1.882245674 0.82664
0.2203389831 204.2545594 1.870176506 0.82295
0.2305084746 196.8055859 1.864530525 0.81695
0.2406779661 191.9161294 1.841864977 0.81356
0.2508474576 186.5432112 1.858908684 0.80892
0.2610169492 185.449029 1.870011393 0.80597
0.2711864407 179.8373616 1.86570421 0.80302
0.2813559322 176.6350466 1.868364449 0.79961
0.2915254237 174.0873941 1.882592479 0.795
0.3016949153 169.2387836 1.878904512 0.79388
0.3118644068 168.6909702 1.866167382 0.78735
0.3220338983 164.1559494 1.880352681 0.78472
0.3322033898 164.0518388 1.870563077 0.78261
0.3423728814 159.7194929 1.879397987 0.7787
0.3525423729 157.6080921 1.920238021 0.77836
0.3627118644 157.2978875 1.957658444 0.77231
0.3728813559 157.1206669 1.906696391 0.76975
0.3830508475 155.6240877 1.868385819 0.76578
0.393220339 154.8184889 1.882124378 0.76356
0.4033898305 154.0615963 1.890277493 0.76238
0.413559322 153.180647 1.89891997 0.75675
0.4237288136 151.7222029 1.907605352 0.75655
0.4338983051 151.5184657 1.898363869 0.75398
0.4440677966 150.8377076 1.874300678 0.75006
0.4542372881 150.6411895 1.880971838 0.74607
0.4644067797 150.4805652 1.889306685 0.74378
0.4745762712 150.1875038 1.924676201 0.74121
0.4847457627 150.0225551 1.94638778 0.73735
0.4949152542 150.0132672 1.98378695 0.73732
0.5050847458 150.0056688 2.040204293 0.7336
0.5152542373 150.1290494 2.004534881 0.73157
0.5254237288 150.1737166 1.942135138 0.73135
0.5355932203 150.6236322 1.975688701 0.72518
0.5457627119 150.7042983 1.945242094 0.72705
0.5559322034 150.6934126 1.958784478 0.72182
0.5661016949 151.1154316 1.935240159 0.71708
0.5762711864 152.0321968 1.924259033 0.717
0.586440678 151.9021628 1.957276274 0.7141
0.5966101695 151.9869773 1.953482316 0.7115
0.606779661 152.801686 1.947547329 0.71241
0.6169491525 153.5967638 1.90046603 0.70863
0.6271186441 153.535802 1.921550614 0.70668
0.6372881356 154.8458593 1.916578985 0.70348
0.6474576271 154.7926491 1.935942061 0.70018
0.6576271186 155.0458283 1.966681248 0.69867
0.6677966102 156.2343342 1.962568708 0.69544
0.6779661017 156.8571651 1.951738743 0.69526
0.6881355932 157.4979817 1.996490867 0.69419
0.6983050847 158.6384763 2.348578912 0.69172
0.7084745763 158.7279561 2.413318409 0.68858
0.7186440678 159.4278398 2.460259124 0.68481
0.7288135593 160.1225019 2.619513635 0.68167
0.7389830508 160.810689 2.44179614 0.68303
0.7491525424 161.6641615 2.425269687 0.68081
0.7593220339 162.8754695 2.385968842 0.6776
0.7694915254 165.4807852 2.529433729 0.67853
0.7796610169 164.9039491 2.414136105 0.67141
0.7898305085 165.1220922 2.172972076 0.671
0.8 165.7645669 2.307529483 0.66873
