# iter energy acceptance cpu_seconds
0 241.614675117 0.99637 30.330759233
1 241.640586773 0.99651 28.437422804
2 242.029783606 0.99658 29.676232164
3 242.236365366 0.99679 32.750122661
4 242.043324122 0.99685 35.724946894
5 242.309843777 0.99681 34.55988875
6 241.840467649 0.99649 33.288107167
7 242.224401045 0.99674 32.990782339
8 242.646806524 0.9965 36.564014415
9 242.38824694 0.99716 43.936911218
10 243.271429068 0.99674 57.693326541
11 243.004676292 0.99652 53.191580449
12 242.946648652 0.99673 50.412879125
13 242.920827017 0.99663 47.272706759
14 242.81984532 0.99676 46.031119898
15 242.681344104 0.99644 49.19386802
16 242.248625216 0.99682 58.449977886
17 242.219912737 0.99672 60.133530543
18 241.547854549 0.99659 55.507369138
19 242.038432611 0.99659 47.050063699
20 242.319697089 0.99662 46.36438493
21 242.352005194 0.9969 47.544278206
22 242.837486461 0.99619 47.835349248
23 241.787357349 0.9968 58.748225586
24 242.944466606 0.99675 55.402052174
25 242.036323438 0.99677 53.03524789
26 242.672981422 0.99675 50.135951225
27 242.020684397 0.99698 48.807529614
28 242.112970115 0.99695 50.688250365
29 242.274433977 0.99625 45.405992223
30 242.066412425 0.99669 41.277695933
31 242.404104911 0.99694 30.035516658
32 242.46362859 0.99688 27.947768453
33 241.747743178 0.99664 27.856267234
34 241.733112709 0.99688 30.251328509
35 241.633586721 0.99649 29.114925671
36 242.023496412 0.99662 29.75970101
37 241.967296962 0.99654 31.022358794
38 241.800143466 0.99647 28.736723825
39 242.182564325 0.99657 29.690814718
40 241.739679918 0.99677 26.97292435
41 241.964407411 0.99683 43.366057859
42 241.725337701 0.99657 35.008582375
43 242.064656733 0.99665 34.430501628
44 242.033363955 0.99668 30.268083227
45 242.250799362 0.99681 30.151244946
46 241.73250228 0.99696 29.685514159
47 242.091378386 0.99686 30.100809548
48 241.606077732 0.9967 27.832463223
49 241.664094625 0.99652 29.010304438
50 242.057946242 0.99653 27.937177918
51 241.615472508 0.99654 26.899763731
52 241.886150808 0.99683 27.84860413
53 241.30817541 0.99645 29.53315049
54 241.877668199 0.99623 28.749916718
55 241.783330292 0.9966 26.126137778
56 241.822015456 0.99649 26.625360534
57 242.197316311 0.99621 26.754528264
58 241.798661822 0.99625 27.034774514
59 241.722903029 0.99694 29.080141001
60 241.708326425 0.99642 26.672580603
61 241.498086019 0.99668 26.102564334
62 241.565707705 0.99692 26.206593261
63 241.54052309 0.99653 53.104693244
64 241.648460269 0.9971 55.979989879
65 241.536898753 0.99655 40.897842795
66 241.71253806 0.99664 35.765013349
67 241.469015798 0.99658 36.700010983
68 241.408486013 0.99695 39.986625666
69 241.719765957 0.99696 34.285755363
70 241.857012576 0.99673 33.522720837
71 241.643838431 0.99661 35.670407409
72 241.748613984 0.99673 50.810666509
73 241.582066868 0.99652 34.962211271
74 241.750702503 0.99662 35.882607429
75 241.617996064 0.99666 35.255345445
76 241.724797807 0.99687 50.530533024
77 241.608843727 0.99644 47.753335538
78 241.43416927 0.99653 41.799953873
79 241.563418596 0.99644 38.495899612
80 241.445308587 0.99659 43.513568904
81 241.43406095 0.99698 37.024656436
82 241.664732644 0.99669 36.945248745
83 241.433346358 0.99672 39.799244657
84 241.373446315 0.99695 42.536294856
85 241.644411032 0.9968 41.78855242
86 241.53371344 0.99655 32.520698411
87 241.560442011 0.99662 35.707698475
88 241.639987521 0.99692 36.442873595
89 241.713044112 0.99655 38.636406115
90 241.449011195 0.99698 30.835171809
91 241.657969808 0.99655 32.528252341
92 241.659560435 0.99651 48.509587347
93 241.630383734 0.99653 37.006496815
94 241.529243543 0.99682 36.885033394
95 241.367018615 0.99678 37.873324169
96 241.499742137 0.9971 38.82037426
97 241.73200024 0.99682 36.185181247
98 241.359289548 0.99661 36.478024604
99 241.44122661 0.99646 38.839261547
