# iter energy acceptance cpu_seconds
0 1261.99475311 0.99657 28.200833895
1 1253.30809322 0.99677 27.428818541
2 1246.53379106 0.99682 28.837296422
3 1241.13980386 0.99667 27.176166175
4 1252.0252494 0.99677 25.732791991
5 1240.05229879 0.99667 29.221645111
6 1247.43886375 0.99665 27.456308759
7 1267.37492906 0.99672 27.0149115
8 1239.52057038 0.99671 27.103771748
9 1235.74416602 0.99676 27.266032413
10 1238.66279823 0.99694 25.782434129
11 1215.90747024 0.99658 27.482870582
12 1202.41662933 0.99673 27.264796506
13 1223.64547536 0.99679 27.307423386
14 1211.18864792 0.99655 27.079244378
15 1206.04475608 0.99674 27.094112518
16 1191.55324445 0.99658 25.737866569
17 1173.24165852 0.99634 27.123898059
18 1171.84177795 0.99682 27.056011873
19 1164.39989858 0.99687 27.280406503
20 1155.87427281 0.99672 27.177779649
21 1138.63412674 0.99659 27.230356297
22 1133.1997099 0.99675 25.793536294
23 1119.66184113 0.99688 28.430767265
24 1101.3873601 0.99665 27.114901043
25 1088.5383697 0.99686 27.179022787
26 1086.76277505 0.99663 27.150363544
27 1084.05657941 0.99641 25.571968263
28 1070.88374519 0.99649 25.581601328
29 1062.87146671 0.99689 27.092805598
30 1043.6459795 0.99657 27.198061833
31 1049.97012873 0.99684 27.160343446
32 1012.7824148 0.99676 27.102645945
33 1009.28987817 0.99674 25.582006179
34 1021.71111579 0.99651 27.175678705
35 1005.11853117 0.99647 27.256476172
36 1018.14408522 0.99696 27.320571123
37 1005.14792028 0.99633 27.220589325
38 975.668388968 0.99631 27.08084166
39 1003.68237746 0.99685 25.83072491
40 974.703145179 0.99648 27.383965003
41 973.711169199 0.99671 27.170744957
42 957.629120869 0.997 27.047692448
43 959.282518086 0.99685 27.166607258
44 953.038469215 0.99632 25.900437276
45 949.193134413 0.99655 28.839628303
46 942.089654734 0.99691 27.25461935
47 925.492590685 0.99647 27.746646379
48 935.035827638 0.99654 27.093562949
49 940.501945075 0.99649 27.342551273
50 923.458144452 0.99681 25.638762382
51 915.540737389 0.99647 27.093394913
52 916.821213066 0.99673 27.090520449
53 901.020993061 0.99635 27.264944843
54 906.043794631 0.99655 27.149393961
55 897.991021188 0.99647 27.198052638
56 897.895545843 0.99635 25.843148572
57 888.930514929 0.99672 27.203077604
58 886.717839469 0.99665 27.321264437
59 884.533974252 0.99659 27.145776091
60 885.300683307 0.99646 27.277937688
61 872.187487522 0.99659 25.692382646
62 871.977635725 0.99702 25.695101469
63 868.285163604 0.9966 27.068465889
64 867.246340676 0.99641 27.136730915
65 859.928852417 0.99647 27.516928443
66 850.259546518 0.99678 62.576669861
67 856.368617838 0.99672 27.52014287
68 852.140914961 0.99683 26.762965279
69 848.008282128 0.99633 29.027275947
70 846.350844889 0.99682 28.923549347
71 844.015853104 0.99679 27.103902969
72 839.968099761 0.99674 26.05152963
73 838.333825296 0.99681 26.998724312
74 838.009545941 0.99658 26.941830338
75 827.282821218 0.99683 27.069788231
76 831.354436395 0.99691 27.356475681
77 833.421353589 0.99649 26.822675573
78 828.927093731 0.99685 30.018786815
79 818.808267968 0.99691 27.650489145
80 820.047069699 0.99688 29.650188603
81 818.97199402 0.99666 29.075319557
82 816.061790614 0.99672 28.906192858
83 811.946729231 0.99669 34.500554222
84 809.107481992 0.99654 32.514088753
85 814.101814491 0.99669 28.136936047
86 809.579441894 0.99655 27.175226478
87 806.564939112 0.99687 29.137100114
88 803.541962614 0.99668 27.226534338
89 802.505422515 0.99678 25.683500288
90 798.709337629 0.99626 27.66621215
91 794.704977716 0.9967 27.088866778
92 797.832379767 0.99654 27.724090525
93 793.840105347 0.9966 27.595599565
94 796.034443552 0.99644 27.946066843
95 789.609063082 0.99656 26.360880985
96 786.396995626 0.99658 27.246887145
97 789.779812373 0.99648 26.981867013
98 785.349357617 0.99669 27.047676393
99 788.99035534 0.9967 26.90667383
