# iter energy acceptance cpu_seconds
0 15.004022383 0.99872 3.475816686
1 15.2569540766 0.99877 3.357692375
2 15.0416771787 0.99868 3.674310832
3 15.0606277125 0.99878 3.191362792
4 15.1238992013 0.9986 3.103822305
5 15.1173268428 0.99877 3.050895306
6 15.0551075575 0.99871 3.069530534
7 15.0422153079 0.99891 3.665287324
8 15.0402976829 0.99873 3.463185175
9 15.0836213189 0.99881 3.270291498
10 15.0677846676 0.99864 3.04113104
11 15.0685458742 0.99893 3.150928053
12 15.0223736801 0.99883 3.068091837
13 15.01293559 0.99859 3.305187273
14 15.0191919648 0.99855 3.393652725
15 15.0163720472 0.99863 3.721085213
16 15.0462699465 0.99864 3.243504374
17 15.0011906918 0.99881 3.308643305
18 15.0161359285 0.9986 3.202703941
19 15.0047142366 0.99882 3.705403527
20 15.0217657926 0.99885 3.859734746
21 15.0134487279 0.99888 4.999195615
22 15.0128123433 0.99881 6.124738457
23 15.0108603367 0.9988 3.983288099
24 15.0014913045 0.99875 4.501393542
25 15.006254239 0.99902 3.699136743
26 14.9926359998 0.99877 3.266756322
27 15.0107789868 0.9988 3.05322982
28 15.0183733227 0.99861 3.00603104
29 15.0143074647 0.99853 3.097321849
30 15.0202010643 0.99868 3.059492961
31 15.0059936713 0.99885 3.070898192
32 14.997004349 0.99855 3.040250446
33 15.0006947781 0.9986 3.072494811
34 14.9996230696 0.9989 3.040995691
35 14.9979463266 0.99878 3.084704572
36 15.0096318334 0.99871 3.08119121
37 15.0006023252 0.99888 3.603910265
38 15.002216323 0.999 3.179191547
39 15.0018253297 0.99871 3.280144157
40 15.0077650124 0.99896 3.546424694
41 15.0110864666 0.9985 3.229919118
42 15.0055816792 0.99891 3.214215378
43 15.0025908232 0.99861 3.73805031
44 15.0065325251 0.99879 3.379481466
45 15.001598776 0.9987 3.88001894
46 15.0015165195 0.99881 4.2918311
47 14.9999134113 0.99864 3.851228407
48 14.9996647127 0.99854 3.748058615
49 15.0028496437 0.99887 3.947780734
50 14.9980873716 0.99891 4.290343861
51 14.9996647688 0.99873 4.183775615
52 14.998007859 0.99873 3.807159313
53 14.9969558654 0.99872 3.596814489
54 15.0019665102 0.99867 4.152523488
55 15.0017463723 0.99865 4.318112632
56 15.0014767778 0.99866 4.731415372
57 15.0042234008 0.99879 3.782334498
58 15.0030212816 0.99881 3.189621053
59 14.999487304 0.9988 3.193408349
60 15.0012919227 0.99855 3.121250599
61 15.0032250088 0.99886 3.198596757
62 14.9980545524 0.9986 3.479760229
63 14.9975116374 0.99868 3.122568376
64 14.99912846 0.99871 3.070599572
65 14.998986662 0.99876 3.048231509
66 14.9974883089 0.99853 3.067573577
67 15.0033198901 0.99862 3.13498547
68 15.0000456025 0.99847 4.085695432
69 14.9991954498 0.99867 3.545324808
70 15.0012880742 0.9987 3.860069319
71 14.9990131854 0.9989 3.908136265
72 14.9991824844 0.99879 7.435819882
73 14.9978801209 0.99877 4.580801049
74 15.0005022442 0.99872 3.563473549
75 15.0003463211 0.99863 4.127551993
76 15.0000349122 0.99875 3.179433444
77 15.000345264 0.99902 3.4686204
78 15.0013985903 0.9986 3.88959712
79 14.9990838556 0.99893 4.115364537
80 14.9998674577 0.99898 3.825493675
81 15.0002810621 0.99875 3.7141407
82 15.0014787441 0.99877 3.735049873
83 14.9998915659 0.99889 4.05237307
84 15.0010939972 0.99881 3.093228118
85 14.9999462728 0.99865 3.198893329
86 15.0002242985 0.99874 3.076977913
87 15.001642054 0.99879 3.332318427
88 14.9996593632 0.99875 3.654954752
89 14.9990797615 0.99877 3.153503169
90 14.998955685 0.99877 3.254064065
91 15.0005768487 0.99871 3.116584584
92 15.0007069823 0.99873 3.101748166
93 14.9992718712 0.99879 3.054380078
94 15.0005552752 0.99871 3.027841348
95 14.9991604233 0.99877 3.049482371
96 14.9999169294 0.99885 3.054630443
97 15.0001425837 0.99875 3.045801439
98 14.9998989275 0.99882 3.140768182
99 14.9998041841 0.99885 3.166447175
