# iter energy acceptance cpu_seconds
0 3.25176416879 0.99896 1.637607276
1 3.3228580676 0.99913 1.5941905
2 3.26749665331 0.99895 1.559543976
3 3.2585802749 0.99909 1.509386462
4 3.30366854889 0.99904 1.549853798
5 3.32288053287 0.99897 1.529450167
6 3.28123731784 0.99895 1.547437461
7 3.25899385884 0.99903 1.50838194
8 3.24329930562 0.99888 1.395001483
9 3.18543235578 0.99906 1.433616669
10 3.23901853541 0.99909 1.416647911
11 3.2687815213 0.99908 1.485609791
12 3.24143691761 0.99909 1.402273479
13 3.2284640138 0.99901 1.886598868
14 3.24580754065 0.999 1.512576327
15 3.24387057982 0.9989 1.393997874
16 3.23654987943 0.99905 1.327633956
17 3.17473777961 0.99886 2.38060351
18 3.21812029913 0.99885 0.609620602
19 3.24328673148 0.99906 0.610658784
20 3.20580868699 0.99908 0.614303486
21 3.20817942412 0.99894 0.603687066
22 3.24528200437 0.99912 0.60613197
23 3.21324775304 0.99895 0.61314327
24 3.21027865329 0.99912 0.60838524
25 3.22984482114 0.99917 0.609173231
26 3.2218728403 0.99915 0.605196446
27 3.18586876179 0.99916 0.602779799
28 3.21304250761 0.99926 0.606323179
29 3.18685756693 0.99903 0.612020043
30 3.16992469958 0.99905 0.609104392
31 3.21300985863 0.99898 0.620214108
32 3.17597864884 0.99905 0.69659957
33 3.21914357402 0.99904 0.669183022
34 3.1601056275 0.99895 0.626045358
35 3.17741926098 0.99929 0.610839491
36 3.14316100229 0.99921 0.596475352
37 3.21332778712 0.99917 0.602363491
38 3.17495486324 0.99905 0.606683611
39 3.19067258065 0.99902 0.60185804
40 3.20279330827 0.99893 0.599494466
41 3.13876706873 0.99909 0.598682423
42 3.15712754084 0.99925 0.601498847
43 3.183224667 0.9991 0.603839709
44 3.19930011734 0.99928 0.60084661
45 3.14106384658 0.99921 0.604986958
46 3.16693597802 0.99924 0.605944098
47 3.16075879036 0.99929 0.600683212
48 3.17457508118 0.99902 0.602148643
49 3.15317361614 0.99907 0.603982428
50 3.19467520844 0.9992 0.596799043
51 3.1322871875 0.99913 0.599590723
52 3.14192523512 0.99916 0.598990093
53 3.15401567958 0.99921 0.636987749
54 3.16637623919 0.99913 0.639432108
55 3.14733684664 0.99921 0.683683201
56 3.14248880875 0.99919 0.60333792
57 3.18385329557 0.99924 0.61474627
58 3.19594201261 0.99909 0.618975054
59 3.14702224265 0.99923 0.640138594
60 3.15089879285 0.99891 0.629445401
61 3.1275089155 0.99908 0.802456359
62 3.1699065387 0.9991 0.724665097
63 3.15323393966 0.99912 0.60989836
64 3.17161762058 0.99921 0.66650476
65 3.16292829756 0.99917 0.621157428
66 3.1173041002 0.99902 1.79396033
67 3.14205976511 0.99901 0.612421912
68 3.13190741367 0.99902 0.603563888
69 3.17391339615 0.9991 0.611406428
70 3.15503041832 0.99931 0.618932554
71 3.14160227319 0.99921 0.608459916
72 3.13653407003 0.99929 0.598035764
73 3.13606667092 0.99933 0.608474239
74 3.14925894286 0.99921 0.606293636
75 3.18810083596 0.99922 0.617427637
76 3.17152535839 0.99917 0.621918043
77 3.1269035377 0.99912 0.614698279
78 3.15947874261 0.99904 0.631345824
79 3.1695016221 0.99931 0.615389211
80 3.16162308419 0.99911 0.637956662
81 3.16595495196 0.99918 0.632310551
82 3.19831698578 0.99905 0.632274552
83 3.13420058862 0.99916 0.997544434
84 3.17409913065 0.99922 0.799132508
85 3.14086567968 0.99914 0.704518506
86 3.14561987142 0.99887 0.617222988
87 3.14351391639 0.99918 0.61475356
88 3.16997884831 0.99921 0.660628445
89 3.17759979327 0.99916 0.618442982
90 3.14077372358 0.99926 0.631876334
91 3.17499810181 0.99925 0.652741409
92 3.13251754427 0.99912 0.608972662
93 3.13348374612 0.99916 0.635801332
94 3.17437161364 0.99925 0.599626262
95 3.14980126073 0.99913 0.609982321
96 3.20938640637 0.99913 0.616527552
97 3.1651913155 0.99912 0.631122513
98 3.1491425884 0.99903 0.654201965
99 3.17768667095 0.99922 0.606137513
