# iter alpha energy gradient H
0 0.4 12.3844218669 -6.91149580143 1
1 0.615984243795 12.3528393488 4.25054530854 0.0193498878625
2 0.53373666872 12.0876505624 1.51757363188 0.0300945581607
3 0.488065960792 12.0750326482 -0.603785320249 0.0215289863519
4 0.501064846711 12.0708587488 0.0569962617427 0.0196719858322
5 0.500924693005 12.0704833734 0.0486687646196 0.0168302317748
6 0.500681349181 12.0710175417 0.032741538626 0.0152784812117
7 0.50043122869 12.0708654037 0.02026674024 0.0200500628252
8 0.500329894989 12.0710476473 0.0160122471545 0.0238180434571
9 0.500249833753 12.0711134792 0.0114209138159 0.0174374696562
10 0.500050681915 12.0710606469 0.00243381478992 0.0221597467142
11 0.500038512841 12.0710751698 0.00191011889382 0.0232369091301
12 0.499994127582 12.0710747492 -0.000274802437815 0.0203143511488
13 0.499995501594 12.071074808 -0.000210505204763 0.0213696939021
14 0.49999775081 12.0710742018 -0.000102082524961 0.0207448838143
15 0.499998261223 12.0710743829 -7.89167993958e-05 0.0220330946852
