# iter energy acceptance cpu_seconds
0 24.187173264 0.99653 3.204486795
1 24.1548153797 0.99656 3.148372805
2 24.1787011243 0.99667 3.001045593
3 24.148363079 0.99689 3.164683649
4 24.1442825478 0.99627 3.160295477
5 24.1527520721 0.99682 3.134501822
6 24.1491122137 0.99679 3.147027241
7 24.1461329611 0.9968 3.041018291
8 24.1395179576 0.99671 3.058414463
9 24.1514171184 0.99683 3.073632197
10 24.1527403667 0.99702 3.200031113
11 24.1411431991 0.99653 3.145922205
12 24.1504696542 0.99647 3.023009559
13 24.1531717108 0.99679 3.001447271
14 24.134722186 0.99671 2.986224269
15 24.1444537631 0.9964 3.139650017
16 24.1406409123 0.99645 3.12943173
17 24.1431399107 0.99684 3.256033113
18 24.1484323063 0.9968 3.04965711
19 24.1386257515 0.99637 3.092031341
20 24.1443614948 0.9966 3.019466879
21 24.1457003618 0.99668 3.010437875
22 24.1370451614 0.99688 3.031565146
23 24.1416544002 0.99677 3.046454746
24 24.142305775 0.99668 3.01940382
25 24.1461533772 0.9966 3.041516341
26 24.1435407838 0.99674 3.121693644
27 24.1426239646 0.99679 3.010419492
28 24.1401562567 0.99681 3.018097388
29 24.1418021741 0.99653 3.04046492
30 24.1369309174 0.99661 3.244349843
31 24.138851061 0.99691 4.460124272
32 24.1421582587 0.99644 3.578817354
33 24.1439516197 0.99672 3.268895747
34 24.1450455394 0.99661 3.385725086
35 24.141612802 0.99636 3.268291796
36 24.1435971918 0.99672 3.355716172
37 24.1398865417 0.99659 3.429471042
38 24.139836047 0.99667 3.333532229
39 24.1408758935 0.99648 3.286458231
40 24.1430901002 0.99683 3.324033651
41 24.1434320376 0.99644 3.434763416
42 24.1410842494 0.99656 3.639302966
43 24.1419006914 0.99675 3.269509007
44 24.1399403531 0.99657 3.126751674
45 24.1421748908 0.99678 3.474542848
46 24.1431306422 0.99674 3.233302535
47 24.1442185107 0.99655 3.282663944
48 24.1417343227 0.99657 3.233714221
49 24.1436189339 0.99701 3.15129625
50 24.1415977613 0.99688 3.246038426
51 24.1418737842 0.99672 3.359678765
52 24.1408201787 0.99653 3.337231505
53 24.1424032256 0.99674 3.089607861
54 24.143890765 0.99666 3.133447272
55 24.1423598224 0.9967 3.36421711
56 24.1431232439 0.99676 3.267050081
57 24.1405512128 0.99656 3.285483582
58 24.1415106918 0.99671 3.308731799
59 24.1419236667 0.99682 3.348426165
60 24.1413832763 0.99651 3.861117405
61 24.1411144896 0.99686 4.109886596
62 24.1425784081 0.99681 3.247971835
63 24.1422085794 0.99667 3.079317177
64 24.1426198964 0.99671 3.092904916
65 24.1413066749 0.99673 3.220294603
66 24.1433101714 0.9967 4.736741782
67 24.1423027716 0.99658 3.5750987
68 24.1412501821 0.99667 3.288514401
69 24.1434824003 0.99621 3.350122663
70 24.1415950309 0.99717 3.414333195
71 24.1426673337 0.99666 3.52043384
72 24.1421077727 0.99674 3.500315747
73 24.1422400325 0.99641 3.679639598
74 24.1420460528 0.99687 3.275985753
75 24.1419090503 0.99658 3.551677416
76 24.1430876798 0.9965 3.412812067
77 24.1417339484 0.99705 3.432322212
78 24.1422397525 0.99673 3.629151104
79 24.1417514555 0.9967 3.695641962
80 24.1417462165 0.99673 3.398099684
81 24.1422774101 0.99666 3.40299112
82 24.1421733908 0.99663 3.465936074
83 24.1423279238 0.99684 3.438188338
84 24.1422604308 0.99646 3.672077755
85 24.1421178834 0.99685 3.967194448
86 24.1419042521 0.99664 3.310457135
87 24.1422219608 0.99651 3.602392806
88 24.1422712161 0.99658 3.209880263
89 24.1424562574 0.99671 3.080845448
90 24.1418520267 0.99638 3.083620325
91 24.1424747619 0.99632 3.203062251
92 24.1417013844 0.99639 3.136989836
93 24.1420066486 0.99687 3.132853706
94 24.1424115224 0.99687 3.536401303
95 24.1418146628 0.99675 4.022863697
96 24.1418645046 0.99678 3.897155212
97 24.1423819028 0.9964 3.351763194
98 24.1421394402 0.99669 3.287504058
99 24.1421379814 0.99679 3.247987631
