# iter energy acceptance cpu_seconds
0 65.7541994313 0.99653 5.049960729
1 66.1252830512 0.99664 4.8627729
2 65.5870507374 0.99685 6.754299296
3 65.0508361774 0.9967 4.821579398
4 63.3788921808 0.99672 4.734538191
5 62.1043661554 0.99686 4.940486583
6 60.5756367125 0.99677 4.859390001
7 59.8886150886 0.99709 5.182739201
8 60.1817458816 0.99673 7.259990388
9 60.1351993115 0.99669 5.018540248
10 60.4923547764 0.9966 4.839184981
11 60.1684293794 0.99675 4.827072476
12 59.7175314492 0.9968 5.166084959
13 59.5454682033 0.9965 4.918482972
14 59.349767614 0.99696 5.209268864
15 58.9632780711 0.9965 7.213472652
16 58.8639969307 0.99655 4.950245056
17 58.9924734845 0.99677 5.729617499
18 58.9595395014 0.99687 5.538349905
19 58.7834864412 0.99656 5.533906523
20 58.9241911631 0.99662 6.606463867
21 59.0419740979 0.99679 5.799502166
22 58.8985189458 0.99677 5.595232786
23 58.8239965416 0.997 4.876166074
24 58.9257047786 0.99654 5.998502292
25 58.7305573131 0.99669 5.259421067
26 58.9848567363 0.99673 6.513848089
27 58.8883234002 0.99643 4.931375016
28 59.0605558861 0.99677 5.016965782
29 58.8110577167 0.99687 5.049214615
30 58.6068103947 0.99644 5.448054622
31 58.4054321363 0.99653 5.177702249
32 58.5892047836 0.99669 6.235578124
33 58.5021071618 0.99677 4.889267252
34 58.6352710837 0.99662 5.711139084
35 58.4597651208 0.99635 4.965484808
36 58.4780874448 0.99675 4.963187522
37 58.7827353973 0.99652 4.841837925
38 58.4417810442 0.997 6.336680499
39 58.8789428703 0.99679 4.894112959
40 58.5872103915 0.99714 4.909776
41 58.7525883713 0.9967 5.274087975
42 58.5703543417 0.99684 4.905334433
43 58.582475466 0.9966 5.015783339
44 58.6747257956 0.99695 5.069998456
45 58.8067756513 0.99684 6.460434322
46 58.7418472605 0.99689 5.600994093
47 58.5667727252 0.99701 5.083916148
48 58.5415846039 0.99656 5.001491385
49 58.5778185825 0.99691 5.186363739
50 58.6690932525 0.99693 5.21605903
51 58.4604239554 0.9971 6.738440557
52 58.7480475249 0.99644 5.69324556
53 58.7207971419 0.99655 5.132685928
54 58.7266716756 0.99639 5.314972762
55 58.5835228699 0.9966 8.642388119
56 58.5289769888 0.99687 8.370974488
57 58.4614976557 0.99676 5.480316068
58 58.7066394038 0.99675 5.316172023
59 58.6261115987 0.99648 5.306134865
60 58.4769012343 0.99659 6.247865865
61 58.7525031232 0.99681 7.381000681
62 58.7320040554 0.99681 5.570677874
63 58.4386845387 0.99675 5.865999375
64 58.5013076857 0.99696 5.897871023
65 58.5327532903 0.99676 6.618419773
66 58.5687565749 0.99665 6.784869662
67 58.4424628334 0.99683 5.31654933
68 58.4778623543 0.99643 6.54750045
69 58.5904875491 0.99672 9.033850493
70 58.4857131372 0.99678 8.138209818
71 58.3445934033 0.99639 7.590575472
72 58.5532831422 0.99676 6.739854595
73 58.3857911688 0.99651 5.405877847
74 58.3825295319 0.99658 6.056503336
75 58.578212211 0.99658 5.628568459
76 58.5799969076 0.99681 7.569414798
77 58.5869143899 0.99701 6.487262753
78 58.2869973398 0.99632 7.074868955
79 58.6001810213 0.99658 5.655786757
80 58.5223772248 0.99647 6.677861272
81 58.4617365725 0.99679 6.570836468
82 58.6880115097 0.99671 5.139673658
83 58.5252475685 0.99674 5.183206704
84 58.5633125441 0.99675 5.089732398
85 58.4544227223 0.99649 8.042600362
86 58.5825878835 0.99651 7.231806629
87 58.5423007522 0.99637 5.230078759
88 58.4704635403 0.99682 5.61815669
89 58.727262603 0.99687 5.145347692
90 58.6335983407 0.99633 5.173099879
91 58.4734824024 0.9967 5.039290523
92 58.6390540076 0.99668 6.578369825
93 58.5538189888 0.99643 5.886822589
94 58.5346254595 0.99677 5.405223528
95 58.5377351802 0.99693 5.053220207
96 58.2059265674 0.99683 5.453294811
97 58.4252355928 0.99661 5.534915874
98 58.3853149834 0.99684 7.54575443
99 58.6063833108 0.99677 5.855838359
