# iter energy acceptance cpu_seconds
0 15.0050689498 0.59039 2.505846676
1 15.2719063129 0.59074 2.651017912
2 15.0234825485 0.5914 2.577067638
3 15.0437958608 0.59349 3.085400184
4 15.1541084364 0.59298 2.568543884
5 15.0913386037 0.58755 2.640114374
6 15.0346791812 0.59038 2.908389412
7 15.0090757938 0.59149 2.960907719
8 15.0226849631 0.59007 2.692725844
9 15.0569245049 0.59177 2.554794896
10 15.0594855876 0.59222 2.808810731
11 15.0253353796 0.59117 2.657363672
12 15.0186595399 0.59166 3.036286687
13 15.0041104234 0.58942 3.200521524
14 15.015756459 0.59317 2.84776992
15 15.0392949229 0.59156 2.726992248
16 15.0214025346 0.59266 2.789573328
17 15.0206438067 0.59016 2.853467315
18 15.0156347747 0.59139 2.822267468
19 15.0013322606 0.59018 2.86425274
20 15.0071239876 0.59157 2.739959851
21 15.0117583577 0.59117 3.010932028
22 15.0168320312 0.59085 2.609980575
23 15.0134980834 0.59308 2.626178457
24 15.010962776 0.59235 2.52263322
25 15.0003998269 0.59366 2.77631957
26 15.0027619891 0.59144 2.809424431
27 15.0030592856 0.58954 3.078093197
28 15.0003868668 0.59057 2.65670109
29 15.0095540066 0.591 2.729287396
30 15.0066121507 0.59067 2.736285946
31 15.0033076199 0.59164 2.646899471
32 15.0064526109 0.59015 2.612820706
33 15.0012311527 0.591 2.567843573
34 15.001628687 0.5919 2.737997542
35 15.0017059695 0.59111 2.625443318
36 15.0017903666 0.59228 2.633553408
37 15.0017371868 0.59352 2.595058365
38 15.0043161865 0.59215 2.789391164
39 15.0008032307 0.59078 2.609945522
40 15.0005733306 0.59189 2.854092788
41 15.0016680089 0.59195 2.916600211
42 15.0003908187 0.59083 2.748055714
43 15.0031478484 0.59343 2.746072806
44 15.0021547445 0.59391 2.852211076
45 15.0013810359 0.58861 2.569771014
46 15.0017267341 0.59354 2.581238141
47 15.0010526947 0.59144 3.082645651
48 15.0004866821 0.59531 3.099853279
49 15.0013346885 0.59427 2.902526433
50 14.9992437219 0.59072 2.796201673
51 14.9990807581 0.59044 2.823556492
52 14.9997871568 0.59159 3.13643826
53 15.000046273 0.58918 2.782500273
54 15.0018738496 0.58843 2.651376559
55 15.0008214072 0.59082 2.848007727
56 15.0004945984 0.59119 3.100031581
57 15.0010111414 0.59374 2.817512798
58 15.0005359137 0.58948 2.698138892
59 15.0002485256 0.58791 3.107583967
60 15.0004594933 0.59296 2.867741831
61 15.0001113102 0.59207 2.908017475
62 15.0008665241 0.59216 3.340894886
63 15.0002870365 0.59025 3.585393684
64 15.0006993809 0.59361 3.405907739
65 15.0002706436 0.59039 3.161632258
66 15.0005213779 0.5925 3.903380463
67 14.9991845808 0.59049 3.128063682
68 15.0000670587 0.5909 3.557531801
69 15.0000517572 0.59171 3.28917531
70 14.9998592245 0.5939 2.708576787
71 15.0003038259 0.59032 3.143255395
72 15.000029523 0.59277 2.906402875
73 15.0005059173 0.58912 2.917777845
74 15.0001581863 0.59394 3.082990995
75 15.0001976977 0.59004 2.992843175
76 15.0000198605 0.59185 2.864615474
77 14.9998257194 0.59268 3.04226378
78 14.9996233604 0.59086 2.640519125
79 14.9998554026 0.5883 2.660922497
80 14.9999305081 0.59101 2.659986966
81 15.0003764066 0.58878 2.716600165
82 15.0002179001 0.59455 2.605917456
83 15.0002387351 0.59268 2.881874997
84 14.9998152749 0.59088 2.638969236
85 14.9998110979 0.58989 2.597836856
86 14.9996701493 0.59208 2.604780744
87 15.0001149549 0.58941 2.643693876
88 14.9999374003 0.58965 2.625306195
89 15.0001827238 0.58894 2.640810349
90 15.0001336453 0.58971 3.269333344
91 14.9998664565 0.59229 2.971068836
92 14.999864584 0.58927 2.752802685
93 15.0000066314 0.59306 2.621594611
94 15.0000165329 0.58633 3.409530858
95 14.999999778 0.59182 2.5950727
96 14.9999815947 0.58973 2.646099386
97 15.0001628343 0.59254 2.531997641
98 15.0000714899 0.59045 2.524649981
99 14.9999707098 0.59347 2.542995856
