# iter energy acceptance cpu_seconds
0 65.8343417291 0.99655 5.37981
1 65.8600039909 0.99644 5.369092417
2 65.6578010739 0.99694 5.301042458
3 65.5746116296 0.99689 5.313126208
4 66.0441144284 0.99704 5.345841042
5 65.6857516015 0.99657 5.379775125
6 65.7964607096 0.99658 5.383419875
7 65.6287205828 0.99707 5.335753375
8 65.4924251432 0.99683 5.379137666
9 65.5164398482 0.99682 5.305347083
10 65.7687002473 0.99649 5.305747084
11 64.977931409 0.99662 5.331089167
12 65.3103030647 0.99659 5.314214208
13 64.8009136905 0.99656 5.315406542
14 65.3346499765 0.99614 5.320882291
15 65.5389332334 0.9964 5.31701975
16 65.1961233333 0.99621 5.313284541
17 64.9577428816 0.99674 5.308514417
18 64.6824788225 0.99669 5.320192709
19 64.5536068461 0.99673 5.318965834
20 63.6706334068 0.99694 5.32601875
21 63.4349297894 0.99676 5.43945725
22 63.5674477419 0.99669 5.309046417
23 62.6217226468 0.9968 5.312991875
24 61.9374879153 0.99678 5.324756208
25 61.6638298107 0.99663 5.317506542
26 61.2845149461 0.99684 5.319000542
27 60.6395794811 0.99658 5.33650075
28 60.4439953083 0.99666 5.32295275
29 59.7371162976 0.99648 5.312406625
30 59.433537645 0.99697 5.4723255
31 59.6039968291 0.99686 5.31215775
32 58.8779770351 0.99654 5.316900125
33 58.9301961009 0.99676 5.320143833
34 58.9847390811 0.99673 5.312108125
35 59.1335658814 0.99668 5.311982417
36 59.0699192203 0.99673 5.3287135
37 59.3692581297 0.99668 5.310521791
38 58.8737076624 0.99652 5.315605417
39 59.1008210415 0.99636 5.337535125
40 59.337755494 0.99663 5.329626292
41 59.0985681735 0.99638 5.320557125
42 59.122706243 0.99707 5.306310792
43 59.0825547975 0.99667 5.3256605
44 59.0251541422 0.99693 5.562251791
45 58.8231975531 0.99639 5.362055292
46 58.9406653672 0.99667 5.35194025
47 58.8456005863 0.99686 5.498789084
48 58.5463385712 0.99697 5.329922
49 58.4819074373 0.99672 5.331775667
50 58.5499489236 0.99676 5.315829166
51 58.4941894516 0.9967 5.331748625
52 58.5071489837 0.99666 5.336983875
53 58.4662347001 0.99675 5.337110417
54 58.5041239394 0.99682 5.313416041
55 58.4992378565 0.99688 5.327904417
56 58.6381211892 0.99663 5.334472125
57 58.623997309 0.99658 5.322653375
58 58.5585792703 0.99649 5.327929416
59 58.3059630805 0.99652 5.315465959
60 58.3630324381 0.99655 5.312022625
61 58.3382176157 0.99629 5.31793325
62 58.5705436387 0.99658 5.324717667
63 58.4869082356 0.99704 5.305399667
64 58.5927289414 0.99642 5.307401417
65 58.799419213 0.99702 5.344930666
66 58.4860780531 0.99671 5.318506458
67 58.3137714715 0.99682 5.310289375
68 58.6848423698 0.99682 5.308291084
69 58.7017437542 0.99661 5.333870125
70 58.401241342 0.99702 5.425034167
71 58.7587592773 0.99709 5.31010225
72 58.5237409064 0.99705 5.330777875
73 58.601463811 0.99659 5.32824575
74 58.6613924032 0.99701 5.312435333
75 58.6548924426 0.99676 5.316036334
76 58.5450056171 0.99673 5.333634334
77 58.581321336 0.99635 5.325784375
78 58.6071921833 0.99664 5.3343185
79 58.4781760165 0.99675 5.313318541
80 58.4677376416 0.99659 5.317077583
81 58.4908282754 0.99666 5.318901875
82 58.4498363879 0.99662 5.317298542
83 58.7374298935 0.99678 5.331657667
84 58.3769026349 0.99654 5.312800458
85 58.3604457631 0.99646 5.332854625
86 58.3982297398 0.99702 5.328972792
87 58.6098768611 0.9969 5.324633708
88 58.4108708926 0.99661 5.320397292
89 58.5680032981 0.99667 5.315868541
90 58.4834532377 0.99639 5.312179583
91 58.3559143743 0.99656 5.303616541
92 58.391732724 0.99693 5.36042875
93 58.5601672376 0.99659 5.328174791
94 58.4567662791 0.99662 5.314149333
95 58.5218285732 0.99661 5.431957708
96 58.4496978737 0.99648 5.329050667
97 58.5407665596 0.99679 5.315018375
98 58.6370380968 0.99682 5.326090208
99 58.46139019 0.99656 5.316878667
