# iter energy acceptance cpu_seconds
0 1261.99475311 0.99657 27.13561167
1 1271.08732005 0.99688 27.845547839
2 1256.02187192 0.99648 27.495546627
3 1259.82019537 0.99683 28.689898136
4 1264.86052093 0.99685 24.862527709
5 1261.88848828 0.99677 26.309510113
6 1238.30193128 0.99683 26.521396414
7 1274.60697917 0.99674 28.162438753
8 1245.17907273 0.99694 27.508471584
9 1245.98383132 0.99668 30.580494233
10 1252.29463526 0.99712 24.869603912
11 1245.10266883 0.99674 26.329899029
12 1254.00639414 0.99686 26.67187185
13 1256.06630744 0.99618 26.773391967
14 1255.41544265 0.99676 28.079028738
15 1244.80027956 0.99623 24.936050946
16 1249.31667232 0.99659 26.336742663
17 1249.58781485 0.99657 26.433620013
18 1267.6709511 0.9967 26.524658864
19 1262.41755292 0.99674 30.64917836
20 1250.50170354 0.99663 26.585886458
21 1265.58373986 0.99682 24.802362661
22 1264.68612006 0.99686 26.423215699
23 1241.7657529 0.99661 27.013040706
24 1251.78906507 0.99698 26.346641226
25 1244.92866418 0.99632 28.506000011
26 1262.95806213 0.99656 24.957121842
27 1238.31314817 0.99655 26.918317668
28 1267.98053932 0.99653 30.475814912
29 1267.20350284 0.99671 29.644965131
30 1280.38652305 0.99648 26.295251849
31 1247.56580782 0.9967 26.813630874
32 1258.35704474 0.99672 24.8960244
33 1247.74305901 0.99691 27.285874786
34 1247.17276105 0.99691 27.502527302
35 1256.4324249 0.99659 27.785097927
36 1272.96099781 0.99695 27.816561831
37 1263.30505097 0.99671 26.637435754
38 1237.24700981 0.99637 25.532701385
39 1262.10267947 0.99675 26.39224348
40 1245.82698715 0.99675 26.337321321
41 1247.19393434 0.9964 26.741148972
42 1253.7150568 0.99647 27.563295517
43 1244.5470907 0.99669 25.33755193
44 1260.10664117 0.99643 26.49330392
45 1256.92511019 0.99656 26.577643427
46 1263.10031232 0.99676 27.555396761
47 1238.78174194 0.99633 26.948015317
48 1252.4450883 0.99689 24.839757555
49 1262.61059364 0.99668 27.014236866
50 1249.41294005 0.99666 27.855069449
51 1250.09013233 0.99646 26.890068844
52 1246.5606889 0.99651 26.501738001
53 1256.22874449 0.99671 24.820962585
54 1250.84397541 0.99652 26.318965218
55 1249.67190008 0.99645 26.617265163
56 1257.93540475 0.99669 26.522744037
57 1258.50073596 0.99613 26.463548212
58 1249.06094667 0.99672 24.618525473
59 1239.01087503 0.99651 26.30760701
60 1240.25290862 0.99674 26.512558301
61 1247.72993982 0.99674 26.323338096
62 1238.41145376 0.99648 26.462721826
63 1235.6070448 0.99685 24.905005011
64 1240.72078054 0.99658 26.609889158
65 1268.8843129 0.9967 26.820701274
66 1260.30935045 0.99689 26.319561584
67 1260.62132867 0.99677 26.384893652
68 1247.15739274 0.99689 24.99074744
69 1264.60824145 0.99672 27.819432354
70 1253.31158703 0.99683 26.445970833
71 1272.65491036 0.99646 26.429218967
72 1245.66805149 0.99669 26.612655654
73 1259.11677453 0.99662 25.124410756
74 1263.49610672 0.99649 27.089379791
75 1251.3636067 0.99711 25.673827961
76 1242.52290609 0.99654 26.506435371
77 1249.98683921 0.99662 26.459595399
78 1233.18441553 0.99653 24.771960794
79 1267.3462406 0.99693 26.81841565
80 1247.69366895 0.99701 27.279571095
81 1246.98203571 0.99675 26.406936642
82 1245.71155056 0.99658 26.595646321
83 1245.56956759 0.99652 25.035751927
84 1260.80481536 0.99641 26.507238263
85 1246.40528754 0.99677 26.349948554
86 1244.11040348 0.99677 26.635250685
87 1262.1210215 0.99653 26.292814093
88 1243.2664968 0.99678 24.890148234
89 1237.14416509 0.99653 26.411438984
90 1239.83735924 0.99658 26.466680555
91 1241.45406415 0.99647 28.416796486
92 1250.16819458 0.99686 26.383917841
93 1250.39547621 0.9964 24.986152209
94 1232.758256 0.99677 26.403958315
95 1242.23299711 0.99663 26.651671819
96 1237.72868989 0.9968 26.647835037
97 1254.40968527 0.99653 26.5102807
98 1235.4864227 0.99682 24.804948998
99 1234.24614505 0.99657 26.310547964
