#           p[0],            p[1],          energy,        variance,           error,    elapsed time, acceptance ratio
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   6.0950227e-15,   1.1040854e-09,   1.7077890e-03,   9.3240000e-01
   5.0000003e-01,   2.8243000e+00,   4.8243000e+00,   1.9867608e-14,   1.9933694e-09,   1.7708430e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   9.5821304e-14,   4.3777004e-09,   1.6796910e-03,   9.3240000e-01
   5.0000003e-01,   2.8243000e+00,   4.8243000e+00,  -1.3559534e-14,            -nan,   1.6980790e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,  -1.4632033e-14,            -nan,   1.8749260e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   1.6664884e-13,   5.7731939e-09,   1.8943120e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   1.0862315e-13,   4.6609688e-09,   1.6849230e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,  -7.6046153e-14,            -nan,   1.6629250e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   9.5821304e-14,   4.3777004e-09,   1.9031680e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   9.5821304e-14,   4.3777004e-09,   1.8223410e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   9.5821304e-14,   4.3777004e-09,   1.7680700e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   9.5821304e-14,   4.3777004e-09,   1.7820970e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   9.5821304e-14,   4.3777004e-09,   1.7275310e-03,   9.3240000e-01
   5.0000000e-01,   2.8243000e+00,   4.8243000e+00,   9.5821304e-14,   4.3777004e-09,   2.2218530e-03,   9.3240000e-01
