# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   1.0918712056e-01,   3.5770004200e-01,   9.3280000000e-01
   1.0431206955e-01,   3.7119440700e-01,   9.3560000000e-01
   1.0033886397e-01,   3.5736077600e-01,   9.2940000000e-01
   6.0229499044e-02,   3.5013889700e-01,   9.2700000000e-01
   2.4715995575e-01,   3.4662919700e-01,   9.3240000000e-01
   2.9684273166e-01,   3.4495211700e-01,   9.3280000000e-01
   3.2674219221e-01,   3.4866676400e-01,   9.4360000000e-01
   3.1034355759e-01,   3.4258839100e-01,   9.3560000000e-01
   1.3475824465e-01,   3.4147896700e-01,   9.2760000000e-01
   2.8243084728e-01,   3.5655603600e-01,   9.3620000000e-01
   3.9781462791e-01,   3.4518316900e-01,   9.3040000000e-01
   4.5260049848e-01,   3.4748884200e-01,   9.3120000000e-01
   3.6462544434e-01,   3.7751822400e-01,   9.3240000000e-01
   4.1517462853e-01,   3.8560772100e-01,   9.4340000000e-01
   4.2691965353e-01,   3.9875354300e-01,   9.2700000000e-01
   2.6659920717e-01,   4.1405428200e-01,   9.3320000000e-01
   5.5424863253e-01,   4.3084823400e-01,   9.2580000000e-01
   5.6887211657e-01,   4.3484133900e-01,   9.3640000000e-01
   5.6742758708e-01,   4.2792460900e-01,   9.3740000000e-01
   6.5483091690e-01,   4.0806250000e-01,   9.3280000000e-01
   4.4228131797e-01,   4.1425754800e-01,   9.3360000000e-01
   6.2674286377e-01,   4.0371859900e-01,   9.3100000000e-01
   5.7139174652e-01,   4.0892113100e-01,   9.2860000000e-01
   6.7730203422e-01,   4.0256789000e-01,   9.3240000000e-01
   6.5140108043e-01,   4.3689992600e-01,   9.2860000000e-01
   5.5610792682e-01,   4.5989378600e-01,   9.3240000000e-01
   6.5401077763e-01,   4.6400505800e-01,   9.3140000000e-01
   6.9520784106e-01,   4.5973970700e-01,   9.2860000000e-01
   6.6993779187e-01,   4.4919400900e-01,   9.3240000000e-01
   6.5992136615e-01,   4.5634145400e-01,   9.3260000000e-01
   6.7957474653e-01,   4.5962055300e-01,   9.2200000000e-01
   6.1478526771e-01,   4.3647230800e-01,   9.3580000000e-01
   6.9328652952e-01,   4.3311820400e-01,   9.2780000000e-01
   7.7535841415e-01,   4.2637999700e-01,   9.3280000000e-01
   7.3595869234e-01,   4.5315288600e-01,   9.3220000000e-01
   7.4145114621e-01,   4.8645822800e-01,   9.2900000000e-01
   6.8298183142e-01,   5.5987301300e-01,   9.3620000000e-01
   7.4796177657e-01,   5.7527713600e-01,   9.3280000000e-01
   4.2385217765e-01,   5.6059612500e-01,   9.2700000000e-01
   7.4991133125e-01,   5.2110262000e-01,   9.2880000000e-01
   7.3993284856e-01,   5.3575975200e-01,   9.2760000000e-01
   6.4473655300e-01,   5.3124471100e-01,   9.3540000000e-01
   3.7438240026e-01,   5.5488283400e-01,   9.3260000000e-01
   7.3643773665e-01,   5.5510840600e-01,   9.3140000000e-01
   7.9990876779e-01,   5.4960141700e-01,   9.2860000000e-01
   7.9311353307e-01,   5.0484805500e-01,   9.3280000000e-01
   6.7574066969e-01,   5.0555566500e-01,   9.3720000000e-01
   7.7617253201e-01,   4.8833964100e-01,   9.3520000000e-01
   7.9150316919e-01,   5.3176190400e-01,   9.3360000000e-01
   8.1710289654e-01,   5.1785739600e-01,   9.3640000000e-01
   8.2419547137e-01,   5.3397076700e-01,   9.3160000000e-01
   8.4532618504e-01,   5.8222301900e-01,   9.2940000000e-01
   6.1904035239e-01,   6.2023708900e-01,   9.3160000000e-01
   5.3517923530e-01,   6.5757750800e-01,   9.2940000000e-01
   8.5159549653e-01,   6.9006630500e-01,   9.3320000000e-01
   8.8190540884e-01,   7.0507520000e-01,   9.2600000000e-01
   8.7410920789e-01,   6.3111136600e-01,   9.3320000000e-01
   8.1508447347e-01,   5.5872550000e-01,   9.4080000000e-01
   8.7076333193e-01,   5.4279244100e-01,   9.2420000000e-01
   8.2837939185e-01,   5.3074583800e-01,   9.2660000000e-01
   8.8988401162e-01,   5.5481322100e-01,   9.2920000000e-01
   8.5886567037e-01,   5.9183218800e-01,   9.3480000000e-01
   8.4248531701e-01,   5.9278096600e-01,   9.3300000000e-01
   9.2255507577e-01,   5.5367226100e-01,   9.2500000000e-01

# TRAINING
#            energy,           variance,              error,       elapsed time,   acceptance ratio 
   5.3764787841e+00,   4.1427212062e+00,   2.8784444432e-02,   3.2403916050e+00,   9.4000000000e-01
   5.4568726322e+00,   5.0634565835e+00,   3.1822811263e-02,   2.9445666460e+00,   9.3580000000e-01
   5.3382093798e+00,   4.9176902746e+00,   3.1361410283e-02,   2.7827593690e+00,   9.3080000000e-01
   5.1982522209e+00,   4.1892899666e+00,   2.8945776779e-02,   2.6704537920e+00,   9.3340000000e-01
   5.5115368255e+00,   9.6290366941e+00,   4.3884021452e-02,   2.7695076190e+00,   9.2940000000e-01
   5.1468443633e+00,   3.8055604463e+00,   2.7588259990e-02,   2.6422869370e+00,   9.2480000000e-01
   5.2936282951e+00,   6.1786560783e+00,   3.5152968803e-02,   2.6353787600e+00,   9.2100000000e-01
   5.0962808204e+00,   2.6848583529e+00,   2.3172649192e-02,   2.6998404690e+00,   9.1440000000e-01
   5.1764481905e+00,   3.6162958114e+00,   2.6893478062e-02,   2.6427661730e+00,   9.1560000000e-01
   5.0579116524e+00,   2.1800620369e+00,   2.0880910118e-02,   2.7943174660e+00,   9.1220000000e-01
   5.0236187926e+00,   2.6255710349e+00,   2.2915370540e-02,   2.9247797420e+00,   9.2300000000e-01
   5.2165000288e+00,   3.6885392104e+00,   2.7160777641e-02,   2.8786998890e+00,   9.2140000000e-01
   5.0303494715e+00,   2.2798658388e+00,   2.1353528227e-02,   2.8521106970e+00,   9.2540000000e-01
   5.0532356947e+00,   2.1629449607e+00,   2.0798773813e-02,   2.7998422420e+00,   9.2400000000e-01
   5.0186545082e+00,   2.0425524092e+00,   2.0211642235e-02,   2.7813483820e+00,   9.3160000000e-01
   5.0947796127e+00,   1.9711680169e+00,   1.9855316754e-02,   2.6708909550e+00,   9.3420000000e-01
   5.1001137250e+00,   2.1389068114e+00,   2.0682876064e-02,   2.6629075150e+00,   9.3260000000e-01
   5.0690860392e+00,   1.9805430909e+00,   1.9902477689e-02,   2.7608171960e+00,   9.3360000000e-01
