# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   3.0878374288e-01,   6.0621184600e-01,   9.7810000000e-01
   5.2610676435e-01,   5.9095402000e-01,   9.7680000000e-01
   7.0169730239e-01,   5.6939201700e-01,   9.8010000000e-01
   8.3256120754e-01,   5.8321227100e-01,   9.7790000000e-01
   8.5767130280e-01,   5.6098170700e-01,   9.8200000000e-01
   8.8700705177e-01,   6.9395414000e-01,   9.7790000000e-01
   8.7225610609e-01,   8.7107020900e-01,   9.7970000000e-01
   8.9453533293e-01,   8.5364475000e-01,   9.7930000000e-01
   8.7405118726e-01,   8.7848819700e-01,   9.8020000000e-01
   8.8304009508e-01,   8.4372830100e-01,   9.7970000000e-01
   8.9825212587e-01,   8.4492317200e-01,   9.8100000000e-01
   9.0366514493e-01,   8.0957303500e-01,   9.7800000000e-01
   9.1170440961e-01,   7.7680183300e-01,   9.7890000000e-01
   9.1737444488e-01,   8.5436539900e-01,   9.7950000000e-01
   9.3157167106e-01,   9.3454744700e-01,   9.7970000000e-01
   9.3432292171e-01,   1.0507170090e+00,   9.7690000000e-01
   9.5000522261e-01,   9.0868933200e-01,   9.7860000000e-01
   9.5439710834e-01,   8.9371492000e-01,   9.8240000000e-01
   9.5912315333e-01,   8.1509380200e-01,   9.8050000000e-01
   9.6564040656e-01,   7.8553075100e-01,   9.8140000000e-01
   9.6545805867e-01,   8.4840729200e-01,   9.7910000000e-01
   9.7182021911e-01,   8.5492314100e-01,   9.8130000000e-01
   9.7093877424e-01,   8.6331486600e-01,   9.8020000000e-01
   9.7195957121e-01,   8.0942314000e-01,   9.7730000000e-01
   9.7344718057e-01,   8.0590017500e-01,   9.7850000000e-01
   9.7386978958e-01,   8.6299434200e-01,   9.7880000000e-01
   9.7375900487e-01,   8.6157297500e-01,   9.7990000000e-01
   9.7442288935e-01,   8.1997910800e-01,   9.7970000000e-01
   9.7823393956e-01,   8.4441341500e-01,   9.7830000000e-01
   9.7944535614e-01,   8.1079024000e-01,   9.7870000000e-01
   9.8002520632e-01,   8.3397915800e-01,   9.7930000000e-01
   9.8220888001e-01,   8.5485802500e-01,   9.7760000000e-01
   9.8324563102e-01,   8.6927017300e-01,   9.7910000000e-01
   9.8523476542e-01,   8.8996523100e-01,   9.8280000000e-01
   9.8244407635e-01,   8.6778622600e-01,   9.7990000000e-01
   9.8637195366e-01,   8.5582520900e-01,   9.7820000000e-01
   9.8919112622e-01,   8.6988764300e-01,   9.7980000000e-01
   9.8906324184e-01,   9.1537689900e-01,   9.8090000000e-01
   9.9077433557e-01,   8.2934633300e-01,   9.7780000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   2.0143300415e+00,   7.4892840114e-02,   2.7366556253e-03,   0.0000000000e+00,   4.5815298590e+00,   9.8070000000e-01
   2.0521272977e+00,   8.9569213372e-02,   2.9928116107e-03,   1.0000000000e-02,   4.4215118660e+00,   9.8480000000e-01
   2.0526946608e+00,   6.9575497742e-02,   2.6377167729e-03,   2.0000000000e-02,   4.3582343760e+00,   9.8080000000e-01
   2.0640360850e+00,   6.5677528121e-02,   2.5627627303e-03,   3.0000000000e-02,   4.7658631680e+00,   9.8260000000e-01
   2.0866416969e+00,   7.6231378023e-02,   2.7610030428e-03,   4.0000000000e-02,   4.2152067470e+00,   9.8030000000e-01
   2.0744719577e+00,   6.5647724895e-02,   2.5621811976e-03,   5.0000000000e-02,   4.2496494990e+00,   9.8350000000e-01
   2.0966848486e+00,   7.2084367395e-02,   2.6848532063e-03,   6.0000000000e-02,   4.1809204840e+00,   9.8020000000e-01
   2.1086632260e+00,   6.0177056646e-02,   2.4531012341e-03,   7.0000000000e-02,   4.3876957150e+00,   9.7980000000e-01
   2.1121271794e+00,   6.2472149615e-02,   2.4994429302e-03,   8.0000000000e-02,   4.1293473360e+00,   9.8160000000e-01
   2.1407756128e+00,   7.7970358623e-02,   2.7923172926e-03,   9.0000000000e-02,   4.1447627000e+00,   9.8300000000e-01
   2.1384672786e+00,   1.4307727620e-01,   3.7825556995e-03,   1.0000000000e-01,   4.4134329650e+00,   9.8450000000e-01
   2.1396396777e+00,   7.3131815485e-02,   2.7042894720e-03,   1.1000000000e-01,   4.8690984580e+00,   9.7940000000e-01
   2.1734548288e+00,   7.8076023159e-02,   2.7942087102e-03,   1.2000000000e-01,   4.5177183440e+00,   9.8260000000e-01
   2.1811249402e+00,   7.2365157109e-02,   2.6900772686e-03,   1.3000000000e-01,   4.4661127760e+00,   9.8170000000e-01
   2.1916329516e+00,   1.4008651442e-01,   3.7428133058e-03,   1.4000000000e-01,   4.4621711410e+00,   9.8320000000e-01
   2.1996674362e+00,   1.1725389169e-01,   3.4242355598e-03,   1.5000000000e-01,   4.6206101980e+00,   9.8180000000e-01
   2.2121132050e+00,   8.6763428278e-02,   2.9455632446e-03,   1.6000000000e-01,   5.1537615340e+00,   9.8120000000e-01
   2.2189381598e+00,   1.8945245618e-01,   4.3526136537e-03,   1.7000000000e-01,   5.0327228410e+00,   9.8320000000e-01
   2.2324245986e+00,   1.1131482954e-01,   3.3363877103e-03,   1.8000000000e-01,   4.6594489850e+00,   9.8130000000e-01
   2.2454848650e+00,   1.3089931930e-01,   3.6180010959e-03,   1.9000000000e-01,   5.0311461550e+00,   9.8150000000e-01
   2.2516640507e+00,   1.8455836310e-01,   4.2960256412e-03,   2.0000000000e-01,   4.3622821220e+00,   9.8150000000e-01
   2.2754608482e+00,   6.2855192243e-01,   7.9281266540e-03,   2.1000000000e-01,   4.5281276210e+00,   9.8030000000e-01
   2.2736531331e+00,   1.4673024770e-01,   3.8305384439e-03,   2.2000000000e-01,   5.2104505320e+00,   9.8200000000e-01
   2.2889840655e+00,   1.8299063064e-01,   4.2777404156e-03,   2.3000000000e-01,   4.7226974710e+00,   9.8240000000e-01
   2.3086641619e+00,   5.1207389001e-01,   7.1559338315e-03,   2.4000000000e-01,   5.1123839020e+00,   9.8140000000e-01
   2.3105427568e+00,   2.2999397729e-01,   4.7957687318e-03,   2.5000000000e-01,   4.5008532400e+00,   9.8370000000e-01
   2.3165646126e+00,   1.3872816508e-01,   3.7246230021e-03,   2.6000000000e-01,   4.1639992040e+00,   9.8190000000e-01
   2.3344270200e+00,   1.9571595132e-01,   4.4239795583e-03,   2.7000000000e-01,   4.1641174460e+00,   9.8120000000e-01
   2.3564127027e+00,   3.6937472227e-01,   6.0776206057e-03,   2.8000000000e-01,   4.5751593150e+00,   9.8290000000e-01
   2.3604174997e+00,   2.3059595835e-01,   4.8020407990e-03,   2.9000000000e-01,   4.1962113890e+00,   9.8130000000e-01
   2.3549437356e+00,   1.7651150393e-01,   4.2013272180e-03,   3.0000000000e-01,   4.2773162900e+00,   9.8280000000e-01
   2.3759598153e+00,   6.0849245378e-01,   7.8005926299e-03,   3.1000000000e-01,   4.2088480380e+00,   9.8440000000e-01
   2.3988092571e+00,   4.7752664263e-01,   6.9103302571e-03,   3.2000000000e-01,   4.1918219600e+00,   9.8180000000e-01
   2.4028574077e+00,   2.8012115355e-01,   5.2926472918e-03,   3.3000000000e-01,   4.1417823080e+00,   9.8180000000e-01
   2.4321935372e+00,   5.6607620133e-01,   7.5238035682e-03,   3.4000000000e-01,   4.2987176020e+00,   9.8080000000e-01
   2.4396427883e+00,   5.1031560904e-01,   7.1436377920e-03,   3.5000000000e-01,   4.8869773170e+00,   9.8260000000e-01
   2.4302717007e+00,   8.0367638342e-01,   8.9647999611e-03,   3.6000000000e-01,   4.9164307200e+00,   9.8300000000e-01
   2.4498284004e+00,   4.9261467662e-01,   7.0186514133e-03,   3.7000000000e-01,   5.8176500740e+00,   9.8360000000e-01
   2.4481115755e+00,   6.2513762459e-01,   7.9065645169e-03,   3.8000000000e-01,   5.6692491440e+00,   9.8140000000e-01
   2.4774266346e+00,   3.7868466402e-01,   6.1537359711e-03,   3.9000000000e-01,   5.3802997920e+00,   9.8190000000e-01
   2.4755427046e+00,   5.2688884287e-01,   7.2587109246e-03,   4.0000000000e-01,   4.8587820100e+00,   9.8280000000e-01
   2.4842500011e+00,   4.3504761024e-01,   6.5958139016e-03,   4.1000000000e-01,   7.0693351060e+00,   9.8250000000e-01
   2.5100144634e+00,   6.7453093705e-01,   8.2129832403e-03,   4.2000000000e-01,   5.3470092790e+00,   9.8300000000e-01
   2.5001452842e+00,   3.1536983068e-01,   5.6157798272e-03,   4.3000000000e-01,   5.0099146620e+00,   9.8160000000e-01
   2.5257816655e+00,   5.7519777659e-01,   7.5841794322e-03,   4.4000000000e-01,   4.5704262550e+00,   9.8080000000e-01
   2.5301605965e+00,   4.3907274850e-01,   6.6262564733e-03,   4.5000000000e-01,   4.1595892150e+00,   9.8230000000e-01
   2.5439776106e+00,   6.2105674647e-01,   7.8807153639e-03,   4.6000000000e-01,   4.4084943760e+00,   9.8260000000e-01
   2.5958827305e+00,   1.6992355540e+01,   4.1221784945e-02,   4.7000000000e-01,   4.6364782470e+00,   9.8240000000e-01
   2.5751159397e+00,   8.2361249581e-01,   9.0753098890e-03,   4.8000000000e-01,   4.7770369600e+00,   9.8270000000e-01
