# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   7.2658682716e-02,   5.5560507500e-01,   9.8120000000e-01
   7.6046109872e-02,   5.2922838900e-01,   9.7980000000e-01
   8.5397667626e-02,   5.2354738600e-01,   9.7950000000e-01
   1.0618972191e-01,   5.2166476500e-01,   9.8060000000e-01
   1.2251065838e-01,   5.5484757700e-01,   9.7840000000e-01
   1.5331594310e-01,   5.3956640400e-01,   9.7660000000e-01
   1.8621628672e-01,   5.2211970800e-01,   9.7730000000e-01
   2.4568187678e-01,   5.2045861400e-01,   9.7880000000e-01
   2.6752078419e-01,   5.2170272800e-01,   9.8080000000e-01
   2.9201274224e-01,   5.1072124900e-01,   9.7980000000e-01
   3.4141487555e-01,   5.1412522900e-01,   9.7840000000e-01
   3.6241560351e-01,   5.1947970000e-01,   9.8040000000e-01
   4.2545981321e-01,   5.6476937000e-01,   9.7700000000e-01
   4.8429799777e-01,   6.2332603800e-01,   9.7830000000e-01
   5.1961610120e-01,   7.3871892800e-01,   9.7920000000e-01
   5.8239453166e-01,   7.3644541300e-01,   9.7830000000e-01
   6.4428664963e-01,   7.2071720500e-01,   9.7880000000e-01
   7.1469960678e-01,   6.5314068800e-01,   9.7790000000e-01
   7.9883619396e-01,   6.7771786800e-01,   9.7790000000e-01
   8.5124685520e-01,   6.7172121000e-01,   9.8110000000e-01
   8.8137748858e-01,   6.5785968700e-01,   9.7910000000e-01
   9.1480800744e-01,   6.3380761300e-01,   9.7980000000e-01
   9.3196696080e-01,   6.3164888900e-01,   9.8100000000e-01
   9.2065849625e-01,   6.2886241100e-01,   9.8330000000e-01
   9.1109162053e-01,   6.3426105200e-01,   9.8140000000e-01
   9.1204042602e-01,   7.0689013900e-01,   9.7690000000e-01
   9.1632812832e-01,   6.8824680000e-01,   9.7970000000e-01
   9.1481869030e-01,   6.9302174000e-01,   9.8040000000e-01
   9.1351368869e-01,   6.9658370100e-01,   9.7910000000e-01
   9.0911442627e-01,   6.5573201500e-01,   9.8110000000e-01
   9.2678948827e-01,   6.3405845500e-01,   9.8020000000e-01
   9.2350822326e-01,   6.2629187800e-01,   9.7710000000e-01
   9.2873305743e-01,   6.3180825100e-01,   9.8010000000e-01
   9.2364596842e-01,   6.3640880300e-01,   9.7930000000e-01
   9.3571492348e-01,   6.3775908000e-01,   9.7950000000e-01
   9.5211173977e-01,   6.2245498600e-01,   9.7880000000e-01
   9.5704408765e-01,   6.2933205100e-01,   9.8040000000e-01
   9.6776128363e-01,   6.4526966200e-01,   9.7990000000e-01
   9.6686411449e-01,   7.4545302500e-01,   9.7940000000e-01
   9.7449496441e-01,   7.1282613700e-01,   9.7690000000e-01
   9.7641702723e-01,   6.4489860800e-01,   9.8170000000e-01
   9.7663866699e-01,   6.3186882800e-01,   9.7730000000e-01
   9.7176076668e-01,   6.3377111200e-01,   9.7920000000e-01
   9.7037483272e-01,   6.3724388700e-01,   9.7800000000e-01
   9.6797496980e-01,   6.9150611800e-01,   9.8090000000e-01
   9.6859677746e-01,   6.8806925200e-01,   9.8000000000e-01
   9.7323369261e-01,   6.5213707800e-01,   9.7960000000e-01
   9.7458202600e-01,   7.0768882600e-01,   9.8070000000e-01
   9.7273733738e-01,   6.4124301800e-01,   9.7850000000e-01
   9.7295718638e-01,   6.3437071000e-01,   9.7820000000e-01
   9.7762409462e-01,   6.2706179700e-01,   9.7830000000e-01
   9.7789657220e-01,   6.2594336700e-01,   9.8100000000e-01
   9.7830210015e-01,   6.3500419200e-01,   9.7820000000e-01
   9.7913286040e-01,   6.4042073800e-01,   9.8010000000e-01
   9.8166840347e-01,   7.0351571600e-01,   9.7750000000e-01
   9.7811088511e-01,   6.5905696500e-01,   9.7910000000e-01
   9.7639046436e-01,   6.8459038700e-01,   9.7690000000e-01
   9.8162411084e-01,   7.0858373500e-01,   9.7850000000e-01
   9.7675281325e-01,   6.7505345000e-01,   9.7780000000e-01
   9.7312602141e-01,   6.4971628700e-01,   9.7890000000e-01
   9.7955342155e-01,   6.4431307800e-01,   9.7790000000e-01
   9.8227850932e-01,   6.4370806600e-01,   9.8040000000e-01
   9.8028998217e-01,   6.7816336900e-01,   9.7870000000e-01
   9.8012291886e-01,   7.0068416000e-01,   9.8020000000e-01
   9.7848371415e-01,   6.6434309400e-01,   9.7910000000e-01
   9.7946265849e-01,   6.5125608000e-01,   9.7870000000e-01
   9.8071698743e-01,   6.3965793500e-01,   9.7810000000e-01
   9.8206677724e-01,   6.4592859700e-01,   9.7970000000e-01
   9.8080445627e-01,   6.5009368600e-01,   9.7860000000e-01
   9.8156658606e-01,   7.0804699100e-01,   9.7820000000e-01
   9.8459930121e-01,   8.0173814100e-01,   9.7830000000e-01
   9.8088633230e-01,   8.1407182500e-01,   9.7970000000e-01
   9.8267875719e-01,   7.1686814100e-01,   9.8020000000e-01
   9.7900486868e-01,   7.5487380600e-01,   9.8120000000e-01
   9.8137772555e-01,   6.8739941400e-01,   9.7790000000e-01
   9.8605178007e-01,   6.4076155200e-01,   9.8210000000e-01
   9.8280488931e-01,   6.6636421900e-01,   9.8050000000e-01
   9.8459926443e-01,   6.5898126100e-01,   9.8170000000e-01
   9.8149047267e-01,   6.4914648000e-01,   9.8170000000e-01
   9.8207572162e-01,   6.4088097300e-01,   9.8100000000e-01
   9.8048219234e-01,   6.7465188900e-01,   9.7920000000e-01
   9.8642385344e-01,   7.0130818900e-01,   9.8070000000e-01
   9.8461290104e-01,   7.0918568900e-01,   9.7850000000e-01
   9.8043582028e-01,   6.7771927600e-01,   9.8020000000e-01
   9.8407278532e-01,   6.4417977800e-01,   9.7770000000e-01
   9.8118957120e-01,   6.4321298200e-01,   9.7920000000e-01
   9.8648058715e-01,   6.5258309500e-01,   9.8010000000e-01
   9.8372441481e-01,   6.3820243000e-01,   9.7970000000e-01
   9.8534111922e-01,   6.4047500100e-01,   9.8140000000e-01
   9.8731744612e-01,   6.4955562900e-01,   9.8060000000e-01
   9.8435842236e-01,   6.4470540800e-01,   9.8070000000e-01
   9.8350280377e-01,   6.3692573100e-01,   9.7940000000e-01
   9.8273156398e-01,   6.5675280000e-01,   9.7850000000e-01
   9.8358214506e-01,   6.4430730000e-01,   9.7990000000e-01
   9.8417669893e-01,   6.3696997600e-01,   9.7810000000e-01
   9.8157479445e-01,   6.3758741600e-01,   9.7980000000e-01
   9.8682870468e-01,   6.8507636900e-01,   9.8000000000e-01
   9.8602763532e-01,   6.5226572200e-01,   9.8130000000e-01
   9.8485831191e-01,   6.5726236700e-01,   9.7970000000e-01
   9.8379884315e-01,   6.5700186900e-01,   9.8270000000e-01
   9.8300480045e-01,   6.4497586700e-01,   9.8060000000e-01
   9.8346512571e-01,   6.5016392400e-01,   9.8080000000e-01
   9.8588733104e-01,   6.6354264500e-01,   9.7990000000e-01
   9.8573891759e-01,   6.5400464000e-01,   9.8190000000e-01
   9.8544640891e-01,   6.5021035900e-01,   9.7960000000e-01
   9.8501470246e-01,   6.7239294700e-01,   9.7950000000e-01
   9.8524797980e-01,   6.6526268100e-01,   9.7940000000e-01
   9.8531570806e-01,   6.4766305700e-01,   9.7880000000e-01
   9.8571785529e-01,   7.3840769500e-01,   9.8110000000e-01
   9.8517263682e-01,   7.6180317000e-01,   9.8000000000e-01
   9.8696019865e-01,   7.7974154500e-01,   9.8090000000e-01
   9.8394115737e-01,   7.8485320200e-01,   9.7800000000e-01
   9.8449961751e-01,   7.6431407700e-01,   9.7950000000e-01
   9.8471172951e-01,   7.0313880300e-01,   9.8150000000e-01
   9.8585628477e-01,   7.0089129900e-01,   9.7910000000e-01
   9.8581837008e-01,   6.9450060700e-01,   9.8020000000e-01
   9.8488280839e-01,   6.8884363100e-01,   9.7800000000e-01
   9.8463611634e-01,   6.8560622600e-01,   9.7850000000e-01
   9.8490747711e-01,   6.6690715600e-01,   9.8180000000e-01
   9.8639258470e-01,   6.6976859600e-01,   9.7780000000e-01
   9.8802121825e-01,   7.3566678800e-01,   9.7990000000e-01
   9.8527083092e-01,   6.7481230100e-01,   9.7790000000e-01
   9.8563366054e-01,   6.8987914900e-01,   9.7920000000e-01
   9.8521180598e-01,   6.7893356900e-01,   9.7830000000e-01
   9.8742747064e-01,   7.1720388200e-01,   9.7930000000e-01
   9.8776581997e-01,   7.2087993400e-01,   9.7960000000e-01
   9.8443122646e-01,   7.8631813700e-01,   9.8070000000e-01
   9.8684233954e-01,   7.9548573400e-01,   9.7930000000e-01
   9.8789905781e-01,   7.4362038800e-01,   9.7850000000e-01
   9.8615327586e-01,   6.8802845400e-01,   9.7970000000e-01
   9.8624679327e-01,   6.7961903800e-01,   9.7780000000e-01
   9.8794817849e-01,   7.5155844400e-01,   9.8040000000e-01
   9.8713798951e-01,   7.1856206600e-01,   9.7830000000e-01
   9.8743447240e-01,   6.8798130700e-01,   9.7710000000e-01
   9.8922726577e-01,   7.2333351400e-01,   9.7940000000e-01
   9.8697095028e-01,   7.0175926700e-01,   9.7730000000e-01
   9.8739613411e-01,   7.0151799500e-01,   9.7980000000e-01
   9.8753833479e-01,   6.9691773300e-01,   9.7700000000e-01
   9.8652188893e-01,   6.8344861100e-01,   9.8190000000e-01
   9.8789509274e-01,   7.3347042300e-01,   9.8020000000e-01
   9.8662504006e-01,   7.0054750200e-01,   9.7980000000e-01
   9.8808184444e-01,   7.0957905500e-01,   9.7930000000e-01
   9.8479121197e-01,   7.3230669400e-01,   9.8140000000e-01
   9.8697965588e-01,   7.3391047400e-01,   9.8080000000e-01
   9.8038996431e-01,   7.0517747200e-01,   9.7960000000e-01
   9.8683952604e-01,   7.6204957300e-01,   9.8050000000e-01
   9.8808107219e-01,   7.2075173300e-01,   9.7930000000e-01
   9.8677781568e-01,   7.0216684300e-01,   9.7950000000e-01
   9.8842633809e-01,   7.6136650100e-01,   9.7740000000e-01
   9.8420809114e-01,   7.5043849200e-01,   9.7910000000e-01
   9.8747886178e-01,   8.4565891000e-01,   9.7980000000e-01
   9.8725738231e-01,   7.9780663500e-01,   9.7960000000e-01
   9.8790884521e-01,   7.5319642300e-01,   9.7900000000e-01
   9.8833007815e-01,   7.6943878100e-01,   9.7890000000e-01
   9.8593338682e-01,   7.2077922100e-01,   9.8150000000e-01
   9.8693794290e-01,   7.5538624400e-01,   9.7960000000e-01
   9.8665571666e-01,   7.7349803100e-01,   9.7890000000e-01
   9.8832991345e-01,   7.9950702100e-01,   9.7910000000e-01
   9.8707882252e-01,   8.4717264900e-01,   9.7940000000e-01
   9.8835599154e-01,   6.9020254700e-01,   9.7680000000e-01
   9.8851944105e-01,   6.0816384100e-01,   9.7600000000e-01
   9.8721635653e-01,   5.9927367300e-01,   9.7790000000e-01
   9.8957308042e-01,   6.4467082000e-01,   9.7980000000e-01
   9.8918534849e-01,   6.3339155400e-01,   9.8000000000e-01
   9.8803058908e-01,   6.5603090200e-01,   9.7970000000e-01
   9.8479645377e-01,   6.2756218800e-01,   9.7690000000e-01
   9.8837082367e-01,   6.4869963900e-01,   9.7880000000e-01
   9.8704187700e-01,   7.4136951800e-01,   9.8020000000e-01
   9.8741360520e-01,   9.2077088900e-01,   9.8070000000e-01
   9.8767719527e-01,   8.4009750800e-01,   9.7820000000e-01
   9.8738930979e-01,   7.5575854200e-01,   9.7730000000e-01
   9.8849501027e-01,   7.2228794700e-01,   9.7880000000e-01
   9.8841149751e-01,   7.1670875000e-01,   9.8040000000e-01
   9.8817237294e-01,   7.3551012800e-01,   9.7850000000e-01
   9.8749731554e-01,   7.2304507500e-01,   9.8120000000e-01
   9.8828887689e-01,   7.1142271500e-01,   9.8070000000e-01
   9.8656800947e-01,   7.4546213400e-01,   9.7600000000e-01
   9.8777887231e-01,   7.5835045000e-01,   9.8080000000e-01
   9.8821444305e-01,   8.1939632700e-01,   9.7660000000e-01
   9.8990466430e-01,   7.5686269600e-01,   9.8070000000e-01
   9.8929997649e-01,   7.4017137200e-01,   9.7940000000e-01
   9.8897257474e-01,   7.4589358600e-01,   9.7970000000e-01
   9.8550371166e-01,   7.1914781000e-01,   9.7790000000e-01
   9.8787870996e-01,   7.1966573000e-01,   9.8030000000e-01
   9.8851597152e-01,   7.3672391300e-01,   9.7910000000e-01
   9.8770133943e-01,   7.6013307700e-01,   9.7920000000e-01
   9.8779826514e-01,   8.0255313100e-01,   9.8080000000e-01
   9.8790881079e-01,   7.8242132700e-01,   9.7760000000e-01
   9.8560765147e-01,   7.6295143300e-01,   9.7930000000e-01
   9.8775356472e-01,   7.4031291500e-01,   9.8040000000e-01
   9.8789470841e-01,   7.1397139200e-01,   9.7980000000e-01
   9.8612087585e-01,   7.3759052900e-01,   9.8040000000e-01
   9.8676247898e-01,   7.3248075200e-01,   9.7930000000e-01
