# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 4.508307368e-01, 1.711330074e-02, 9.914285714e-02, 3.763411392e-03
1.050000000e-01, 4.733506199e-01, 1.012413369e-02, 3.122857143e-01, 6.679239844e-03
1.750000000e-01, 4.520000384e-01, 7.663219358e-03, 4.970000000e-01, 8.426149773e-03
2.450000000e-01, 4.684630628e-01, 6.593494988e-03, 7.211428571e-01, 1.014989695e-02
3.150000000e-01, 4.535013639e-01, 5.721304569e-03, 8.975714286e-01, 1.132362529e-02
3.850000000e-01, 4.374251070e-01, 5.082560237e-03, 1.058142857e+00, 1.229484710e-02
4.550000000e-01, 4.082561649e-01, 4.516704967e-03, 1.167142857e+00, 1.291257890e-02
5.250000000e-01, 4.012436865e-01, 4.168554655e-03, 1.323571429e+00, 1.375069572e-02
5.950000000e-01, 3.756668057e-01, 3.788820006e-03, 1.404428571e+00, 1.416448563e-02
6.650000000e-01, 3.481236586e-01, 3.449983299e-03, 1.454571429e+00, 1.441512811e-02
7.350000000e-01, 3.234758484e-01, 3.163284888e-03, 1.493857143e+00, 1.460849627e-02
8.050000000e-01, 2.931162377e-01, 2.877286079e-03, 1.482571429e+00, 1.455320990e-02
8.750000000e-01, 2.755654158e-01, 2.675896891e-03, 1.515000000e+00, 1.471151153e-02
9.450000000e-01, 2.520254012e-01, 2.462449308e-03, 1.496428571e+00, 1.462106392e-02
1.015000000e+00, 2.284842251e-01, 2.262330941e-03, 1.457142857e+00, 1.442786420e-02
1.085000000e+00, 2.048792467e-01, 2.072025811e-03, 1.396714286e+00, 1.412553051e-02
1.155000000e+00, 1.791157486e-01, 1.877746408e-03, 1.299857143e+00, 1.362695408e-02
1.225000000e+00, 1.573917105e-01, 1.709164757e-03, 1.211428571e+00, 1.315527364e-02
1.295000000e+00, 1.401581810e-01, 1.568683714e-03, 1.140428571e+00, 1.276394795e-02
1.365000000e+00, 1.225934465e-01, 1.428987229e-03, 1.051428571e+00, 1.225577748e-02
1.435000000e+00, 1.005789526e-01, 1.262375769e-03, 9.068571429e-01, 1.138204816e-02
1.505000000e+00, 8.994860286e-02, 1.165708617e-03, 8.505714286e-01, 1.102316670e-02
1.575000000e+00, 7.284316035e-02, 1.025451575e-03, 7.208571429e-01, 1.014788608e-02
1.645000000e+00, 6.186517805e-02, 9.247007892e-04, 6.394285714e-01, 9.557559248e-03
1.715000000e+00, 4.992732326e-02, 8.135759933e-04, 5.380000000e-01, 8.766820567e-03
1.785000000e+00, 3.906588319e-02, 7.054086148e-04, 4.381428571e-01, 7.911500283e-03
1.855000000e+00, 3.341211974e-02, 6.399427208e-04, 3.894285714e-01, 7.458729990e-03
1.925000000e+00, 2.753173821e-02, 5.702463243e-04, 3.330000000e-01, 6.897204403e-03
1.995000000e+00, 1.988724495e-02, 4.760766785e-04, 2.492857143e-01, 5.967599593e-03
2.065000000e+00, 1.736335837e-02, 4.372379831e-04, 2.252857143e-01, 5.673065615e-03
2.135000000e+00, 1.309873402e-02, 3.734880992e-04, 1.757142857e-01, 5.010193691e-03
2.205000000e+00, 9.857604509e-03, 3.188177144e-04, 1.365714286e-01, 4.417035667e-03
2.275000000e+00, 7.765362059e-03, 2.785808121e-04, 1.110000000e-01, 3.982102819e-03
2.345000000e+00, 6.864556790e-03, 2.579858423e-04, 1.011428571e-01, 3.801181342e-03
2.415000000e+00, 5.008602764e-03, 2.171504695e-04, 7.600000000e-02, 3.295017884e-03
2.485000000e+00, 3.614038662e-03, 1.818420197e-04, 5.642857143e-02, 2.839229559e-03
2.555000000e+00, 2.242496263e-03, 1.412639864e-04, 3.600000000e-02, 2.267786838e-03
2.625000000e+00, 1.766944674e-03, 1.237108719e-04, 2.914285714e-02, 2.040408122e-03
2.695000000e+00, 1.332970104e-03, 1.060454076e-04, 2.257142857e-02, 1.795686441e-03
2.765000000e+00, 1.184102909e-03, 9.867524242e-05, 2.057142857e-02, 1.714285714e-03
2.835000000e+00, 6.816916182e-04, 7.393983741e-05, 1.214285714e-02, 1.317077780e-03
2.905000000e+00, 3.991591885e-04, 5.589346620e-05, 7.285714286e-03, 1.020204061e-03
2.975000000e+00, 2.980572764e-04, 4.772736139e-05, 5.571428571e-03, 8.921425712e-04
3.045000000e+00, 1.344024854e-04, 3.167896960e-05, 2.571428571e-03, 6.060915267e-04
3.115000000e+00, 1.532792389e-04, 3.344827214e-05, 3.000000000e-03, 6.546536707e-04
3.185000000e+00, 7.852452900e-05, 2.367603632e-05, 1.571428571e-03, 4.738035415e-04
3.255000000e+00, 3.492537702e-05, 1.561910343e-05, 7.142857143e-04, 3.194382825e-04
3.325000000e+00, 4.786614830e-05, 1.809170352e-05, 1.000000000e-03, 3.779644730e-04
3.395000000e+00, 6.697031058e-05, 2.117787170e-05, 1.428571429e-03, 4.517539515e-04
3.465000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
