# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   5.8039554133e-01,   6.5563460300e-01,   9.7810000000e-01
   7.1188724843e-01,   6.1848163300e-01,   9.7890000000e-01
   8.2396845415e-01,   6.4126478800e-01,   9.7800000000e-01
   8.7297152679e-01,   7.1390105100e-01,   9.8050000000e-01
   9.1285112327e-01,   6.6947830300e-01,   9.7910000000e-01
   9.3079341108e-01,   6.2931727200e-01,   9.7790000000e-01
   9.3532613381e-01,   6.0418673100e-01,   9.7950000000e-01
   9.2764289493e-01,   6.1171845900e-01,   9.8030000000e-01
   9.1610512518e-01,   6.1557430600e-01,   9.7990000000e-01
   9.0758703959e-01,   6.2208527000e-01,   9.8100000000e-01
   9.2227227200e-01,   6.0226786000e-01,   9.7960000000e-01
   9.3957528910e-01,   6.2448710300e-01,   9.7680000000e-01
   9.5012265370e-01,   6.2917932700e-01,   9.7870000000e-01
   9.6451563884e-01,   6.0297618900e-01,   9.8070000000e-01
   9.7220318036e-01,   6.0073625800e-01,   9.7870000000e-01
   9.7759100432e-01,   6.1330861600e-01,   9.7940000000e-01
   9.7963960827e-01,   6.2217849200e-01,   9.8140000000e-01
   9.8424532545e-01,   6.7936861900e-01,   9.7820000000e-01
   9.8271975088e-01,   6.5605585500e-01,   9.7980000000e-01
   9.8207777385e-01,   6.5100524600e-01,   9.7670000000e-01
   9.8264698600e-01,   6.9115039600e-01,   9.7810000000e-01
   9.8311839645e-01,   6.6238347400e-01,   9.8190000000e-01
   9.8078706849e-01,   6.5952987000e-01,   9.8050000000e-01
   9.8319786166e-01,   6.3224739300e-01,   9.7990000000e-01
   9.8424023991e-01,   6.1527319600e-01,   9.7740000000e-01
   9.8295930800e-01,   6.0641215100e-01,   9.7880000000e-01
   9.8591935762e-01,   6.1365852400e-01,   9.7820000000e-01
   9.8665107236e-01,   6.2739572500e-01,   9.8110000000e-01
   9.8389969199e-01,   6.1964655000e-01,   9.8230000000e-01
   9.8286041792e-01,   6.3686937300e-01,   9.7620000000e-01
   9.8542596629e-01,   6.0424709200e-01,   9.7860000000e-01
   9.8719549520e-01,   6.0274723500e-01,   9.7960000000e-01
   9.8731036496e-01,   6.0436406800e-01,   9.7730000000e-01
   9.8726014439e-01,   6.1608148300e-01,   9.7790000000e-01
   9.8985907151e-01,   6.4939265800e-01,   9.8020000000e-01
   9.8863372562e-01,   6.3203156600e-01,   9.8020000000e-01
   9.8877980661e-01,   6.4747343300e-01,   9.7850000000e-01
   9.9088283811e-01,   6.7005934600e-01,   9.7940000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   2.0278888045e+00,   9.0614612587e-02,   3.0102261142e-03,   0.0000000000e+00,   4.5740652000e+00,   9.8390000000e-01
   2.0215586463e+00,   7.8659271251e-02,   2.8046260223e-03,   1.0000000000e-02,   4.1612490700e+00,   9.7900000000e-01
   2.0583011106e+00,   1.0442941540e-01,   3.2315540441e-03,   2.0000000000e-02,   4.0203659410e+00,   9.8200000000e-01
   2.0479506152e+00,   8.8337278916e-02,   2.9721587931e-03,   3.0000000000e-02,   4.1104186410e+00,   9.7920000000e-01
   2.0664870491e+00,   8.1658755284e-02,   2.8575996095e-03,   4.0000000000e-02,   4.5450170980e+00,   9.8080000000e-01
   2.0821277272e+00,   7.7111154300e-02,   2.7768895243e-03,   5.0000000000e-02,   4.4681488560e+00,   9.8140000000e-01
   2.0982718878e+00,   9.8994236611e-02,   3.1463349569e-03,   6.0000000000e-02,   4.8763073030e+00,   9.8270000000e-01
   2.1162885805e+00,   1.0566603788e-01,   3.2506312906e-03,   7.0000000000e-02,   4.9861847140e+00,   9.7870000000e-01
   2.1242608483e+00,   9.5596558603e-02,   3.0918693149e-03,   8.0000000000e-02,   4.6265267440e+00,   9.8010000000e-01
   2.1368185473e+00,   1.8327697770e-01,   4.2810860503e-03,   9.0000000000e-02,   5.2897487340e+00,   9.7860000000e-01
   2.1365386093e+00,   1.0779308134e-01,   3.2831856685e-03,   1.0000000000e-01,   5.4194872430e+00,   9.7960000000e-01
   2.1481506792e+00,   6.9860912127e-02,   2.6431214903e-03,   1.1000000000e-01,   4.7012059020e+00,   9.8190000000e-01
   2.1700972604e+00,   2.2168421553e-01,   4.7083353271e-03,   1.2000000000e-01,   5.2465574560e+00,   9.8270000000e-01
   2.1710706405e+00,   1.1878065301e-01,   3.4464569200e-03,   1.3000000000e-01,   6.5138414370e+00,   9.8250000000e-01
   2.1821146138e+00,   1.1170536553e-01,   3.3422352629e-03,   1.4000000000e-01,   5.7677586380e+00,   9.8370000000e-01
   2.1874080381e+00,   1.5145284011e-01,   3.8916942340e-03,   1.5000000000e-01,   5.9167997650e+00,   9.8220000000e-01
   2.2071408521e+00,   1.1509857161e-01,   3.3926180394e-03,   1.6000000000e-01,   6.4157345140e+00,   9.7980000000e-01
   2.2316075607e+00,   1.3088623567e-01,   3.6178202784e-03,   1.7000000000e-01,   6.0125345650e+00,   9.8220000000e-01
   2.2353573598e+00,   3.7878061436e-01,   6.1545155322e-03,   1.8000000000e-01,   5.2372329160e+00,   9.8410000000e-01
   2.2449020954e+00,   1.0616139794e-01,   3.2582418256e-03,   1.9000000000e-01,   5.8654952420e+00,   9.8010000000e-01
