# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   2.0969745312e-01,   5.9545285600e-01,   9.7890000000e-01
   2.2708640907e-01,   5.7318032200e-01,   9.7900000000e-01
   2.5660488494e-01,   5.6244038600e-01,   9.7690000000e-01
   3.2258460514e-01,   5.6056159600e-01,   9.7820000000e-01
   3.4868307681e-01,   5.6288008500e-01,   9.7940000000e-01
   3.8487075601e-01,   5.6098151100e-01,   9.7880000000e-01
   4.6272335616e-01,   5.5315519000e-01,   9.8120000000e-01
   4.7785942338e-01,   5.6225221400e-01,   9.8070000000e-01
   5.1212363411e-01,   6.3888638300e-01,   9.8150000000e-01
   5.7013631905e-01,   6.7089687700e-01,   9.7820000000e-01
   6.0411740217e-01,   7.0154193400e-01,   9.7970000000e-01
   6.7083424199e-01,   6.7872256500e-01,   9.7900000000e-01
   6.8415850006e-01,   6.5411414500e-01,   9.8120000000e-01
   7.6524728990e-01,   6.6711042000e-01,   9.8050000000e-01
   7.8652397058e-01,   7.4330398000e-01,   9.7810000000e-01
   8.4423464451e-01,   7.2385591200e-01,   9.8240000000e-01
   8.8382145803e-01,   6.7602314100e-01,   9.7970000000e-01
   9.1752943832e-01,   6.8344125600e-01,   9.8020000000e-01
   9.4650795913e-01,   6.6343451100e-01,   9.8000000000e-01
   9.7138689758e-01,   6.6273031900e-01,   9.8080000000e-01
   9.7578766234e-01,   6.6581999700e-01,   9.7970000000e-01
   9.6310280868e-01,   6.4712853900e-01,   9.7910000000e-01
   9.5049903316e-01,   6.5314410200e-01,   9.7800000000e-01
   9.4154918390e-01,   6.6339912600e-01,   9.7840000000e-01
   9.3986656237e-01,   6.5317180800e-01,   9.7840000000e-01
   9.3840114519e-01,   6.5050960200e-01,   9.7880000000e-01
   9.5244436942e-01,   6.5312654000e-01,   9.7970000000e-01
   9.7116281703e-01,   6.4879306500e-01,   9.7760000000e-01
   9.7323654810e-01,   6.5141630500e-01,   9.7720000000e-01
   9.7693093770e-01,   6.5225340000e-01,   9.7840000000e-01
   9.7991175604e-01,   6.5402903600e-01,   9.8250000000e-01
   9.8262539502e-01,   6.5036356300e-01,   9.7860000000e-01
   9.8215191825e-01,   6.4536428600e-01,   9.8130000000e-01
   9.8131956883e-01,   7.2692889900e-01,   9.7850000000e-01
   9.7916020638e-01,   7.0737490700e-01,   9.8150000000e-01
   9.8189638432e-01,   7.2723560400e-01,   9.7840000000e-01
   9.7902525427e-01,   6.7625443000e-01,   9.8150000000e-01
   9.7948743114e-01,   6.4869847000e-01,   9.7990000000e-01
   9.7855343442e-01,   6.4981838400e-01,   9.7920000000e-01
   9.8109753304e-01,   6.7606061600e-01,   9.7850000000e-01
   9.7936459844e-01,   7.0988713000e-01,   9.8130000000e-01
   9.8367483905e-01,   6.7707347700e-01,   9.8060000000e-01
   9.8408676134e-01,   6.9300114800e-01,   9.8140000000e-01
   9.8215063488e-01,   6.4803852900e-01,   9.7820000000e-01
   9.8345028239e-01,   6.7131536500e-01,   9.7950000000e-01
   9.8741304483e-01,   7.4163278000e-01,   9.7900000000e-01
   9.8636910068e-01,   6.9626183800e-01,   9.8040000000e-01
   9.8769381376e-01,   6.9977865700e-01,   9.8000000000e-01
   9.8369700226e-01,   6.8312968800e-01,   9.7740000000e-01
   9.8796403832e-01,   6.7907385500e-01,   9.7900000000e-01
   9.8880200867e-01,   6.7275628200e-01,   9.7750000000e-01
   9.8935948710e-01,   6.6230076100e-01,   9.7870000000e-01
   9.8788087015e-01,   7.4289756700e-01,   9.7800000000e-01
   9.9072809494e-01,   7.3335826900e-01,   9.7890000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   2.0265683254e+00,   5.7058741335e-02,   2.3886971624e-03,   0.0000000000e+00,   4.2927281400e+00,   9.8180000000e-01
   2.0238349010e+00,   4.8071158765e-02,   2.1925135978e-03,   1.0000000000e-02,   4.3549472250e+00,   9.8020000000e-01
   2.0263235074e+00,   3.8119279796e-02,   1.9524159341e-03,   2.0000000000e-02,   4.3376980020e+00,   9.7970000000e-01
   2.0545110880e+00,   4.6522208023e-02,   2.1569007400e-03,   3.0000000000e-02,   4.3072975660e+00,   9.8050000000e-01
   2.0799803927e+00,   4.7817288705e-02,   2.1867164586e-03,   4.0000000000e-02,   4.3284973150e+00,   9.7940000000e-01
   2.0672062812e+00,   4.3020781179e-02,   2.0741451535e-03,   5.0000000000e-02,   4.2875984700e+00,   9.7980000000e-01
   2.0883901739e+00,   5.5270718457e-02,   2.3509725319e-03,   6.0000000000e-02,   4.2863199390e+00,   9.8320000000e-01
   2.0939289256e+00,   5.4785006103e-02,   2.3406197065e-03,   7.0000000000e-02,   4.3366278850e+00,   9.8120000000e-01
   2.1088566007e+00,   5.1385035538e-02,   2.2668267587e-03,   8.0000000000e-02,   4.4735231680e+00,   9.8190000000e-01
   2.1272911938e+00,   5.7994171796e-02,   2.4081979112e-03,   9.0000000000e-02,   4.3447726430e+00,   9.7990000000e-01
   2.1317930726e+00,   5.4363475019e-02,   2.3315976287e-03,   1.0000000000e-01,   4.3398385330e+00,   9.8150000000e-01
   2.1432367414e+00,   6.1656809402e-02,   2.4830789235e-03,   1.1000000000e-01,   4.3469412710e+00,   9.8230000000e-01
   2.1632371619e+00,   6.1377893112e-02,   2.4774562178e-03,   1.2000000000e-01,   4.9154121100e+00,   9.7990000000e-01
   2.1619470188e+00,   6.5209476217e-02,   2.5536146189e-03,   1.3000000000e-01,   4.3444261450e+00,   9.8090000000e-01
   2.1833027178e+00,   7.2880810159e-02,   2.6996446092e-03,   1.4000000000e-01,   4.6016488080e+00,   9.8240000000e-01
   2.1994396905e+00,   2.9481599944e-01,   5.4296961189e-03,   1.5000000000e-01,   4.3892693110e+00,   9.8250000000e-01
   2.2194214075e+00,   2.4916779015e-01,   4.9916709642e-03,   1.6000000000e-01,   4.3876276710e+00,   9.8300000000e-01
   2.2139509905e+00,   8.0797387917e-02,   2.8424881340e-03,   1.7000000000e-01,   4.3855162610e+00,   9.8000000000e-01
   2.2230407515e+00,   7.5939962370e-02,   2.7557206384e-03,   1.8000000000e-01,   4.4237085450e+00,   9.8120000000e-01
   2.2409399348e+00,   1.4006442805e-01,   3.7425182438e-03,   1.9000000000e-01,   4.6530383900e+00,   9.8210000000e-01
   2.2537805026e+00,   1.2290863251e-01,   3.5058327471e-03,   2.0000000000e-01,   4.7209595720e+00,   9.8150000000e-01
   2.2698608884e+00,   2.8050297703e-01,   5.2962531758e-03,   2.1000000000e-01,   4.3036265940e+00,   9.8050000000e-01
   2.2894054474e+00,   1.6181711372e-01,   4.0226497948e-03,   2.2000000000e-01,   4.2869632750e+00,   9.8320000000e-01
   2.2814852429e+00,   3.9606185117e-01,   6.2933445096e-03,   2.3000000000e-01,   4.3361137220e+00,   9.8400000000e-01
   2.3002333855e+00,   2.0419328023e-01,   4.5187750578e-03,   2.4000000000e-01,   4.2989034580e+00,   9.8220000000e-01
   2.3051641719e+00,   2.1241409624e-01,   4.6088403774e-03,   2.5000000000e-01,   4.2951520860e+00,   9.8280000000e-01
   2.3148478290e+00,   2.2622009771e-01,   4.7562600613e-03,   2.6000000000e-01,   4.3272393830e+00,   9.8310000000e-01
   2.3375789155e+00,   4.6571243308e-01,   6.8243126619e-03,   2.7000000000e-01,   4.3075092410e+00,   9.8390000000e-01
