# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   4.9383686733e-03,   7.1522995800e-01,   9.7850000000e-01
   2.3815562895e-02,   6.2647091500e-01,   9.7940000000e-01
   4.0971331379e-02,   6.2735431600e-01,   9.7760000000e-01
   4.1912527731e-02,   6.3764088600e-01,   9.8160000000e-01
   1.1494074584e-01,   7.3398264900e-01,   9.7810000000e-01
   2.9053841762e-01,   1.0273247200e+00,   9.8060000000e-01
   4.3720301873e-01,   1.1695011090e+00,   9.7740000000e-01
   5.2894219461e-01,   1.1915079380e+00,   9.7740000000e-01
   5.7646669737e-01,   1.1811874060e+00,   9.8070000000e-01
   6.3259117697e-01,   1.0706035610e+00,   9.7760000000e-01
   7.0609551858e-01,   1.1173151930e+00,   9.8010000000e-01
   7.6572278074e-01,   1.0777018650e+00,   9.7860000000e-01
   7.6617893363e-01,   9.5216871000e-01,   9.7850000000e-01
   8.0576476152e-01,   9.4096172400e-01,   9.8030000000e-01
   8.6090800745e-01,   1.0787755340e+00,   9.7980000000e-01
   8.9441138100e-01,   9.4344975600e-01,   9.7990000000e-01
   9.0787031900e-01,   9.5462204500e-01,   9.7990000000e-01
   9.3042645161e-01,   8.8064131900e-01,   9.7980000000e-01
   9.4653848904e-01,   7.2815025900e-01,   9.8160000000e-01
   9.5109527529e-01,   9.2457655200e-01,   9.8050000000e-01
   9.6205694791e-01,   1.0171456800e+00,   9.7830000000e-01
   9.7057723068e-01,   8.4607413400e-01,   9.7740000000e-01
   9.6978384262e-01,   8.4208704400e-01,   9.8080000000e-01
   9.7233304509e-01,   7.7994523800e-01,   9.8050000000e-01
   9.7198434371e-01,   8.1132388200e-01,   9.7920000000e-01
   9.7675486789e-01,   1.5894942130e+00,   9.7940000000e-01
   9.8100436610e-01,   8.6871084000e-01,   9.7930000000e-01
   9.8294200959e-01,   8.0187849200e-01,   9.8120000000e-01
   9.8378348086e-01,   7.4389864600e-01,   9.7920000000e-01
   9.8178785427e-01,   7.5193749900e-01,   9.7960000000e-01
   9.8296187444e-01,   8.8965944600e-01,   9.7790000000e-01
   9.8633882100e-01,   6.9324745000e-01,   9.7840000000e-01
   9.8574154126e-01,   6.5689527700e-01,   9.8110000000e-01
   9.8524000307e-01,   6.7416657000e-01,   9.7730000000e-01
   9.8788736404e-01,   6.5937524100e-01,   9.7870000000e-01
   9.8865476146e-01,   6.4714618600e-01,   9.7890000000e-01
   9.8922225932e-01,   7.0553172800e-01,   9.8150000000e-01
   9.9106093470e-01,   6.9918152200e-01,   9.7960000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   2.0230678960e+00,   5.6307719636e-02,   2.3729247699e-03,   0.0000000000e+00,   4.2370102230e+00,   9.8420000000e-01
   2.0283375620e+00,   4.9613241383e-02,   2.2274030031e-03,   1.0000000000e-02,   3.9809429150e+00,   9.8000000000e-01
   2.0529700621e+00,   5.7114055879e-02,   2.3898547211e-03,   2.0000000000e-02,   3.9843817820e+00,   9.8320000000e-01
   2.0582342837e+00,   5.3252447674e-02,   2.3076491864e-03,   3.0000000000e-02,   4.2347358260e+00,   9.8400000000e-01
   2.0675611950e+00,   5.4758141513e-02,   2.3400457584e-03,   4.0000000000e-02,   4.2729794720e+00,   9.7990000000e-01
   2.0854426344e+00,   5.0461980399e-02,   2.2463744211e-03,   5.0000000000e-02,   5.9413175480e+00,   9.8110000000e-01
   2.0941099133e+00,   5.2972887641e-02,   2.3015839685e-03,   6.0000000000e-02,   8.0474896310e+00,   9.8150000000e-01
   2.1097543390e+00,   5.7101219419e-02,   2.3895861445e-03,   7.0000000000e-02,   7.2913621140e+00,   9.8060000000e-01
   2.1099537087e+00,   9.1446530749e-02,   3.0240127438e-03,   8.0000000000e-02,   4.9714442000e+00,   9.8300000000e-01
   2.1317888225e+00,   4.1588743515e-01,   6.4489335176e-03,   9.0000000000e-02,   4.5109170940e+00,   9.8060000000e-01
   2.1449155605e+00,   7.8491609441e-02,   2.8016354053e-03,   1.0000000000e-01,   5.0410113220e+00,   9.8100000000e-01
   2.1467400191e+00,   6.6512145777e-02,   2.5789948774e-03,   1.1000000000e-01,   1.1108528514e+01,   9.8100000000e-01
   2.1686943602e+00,   9.6912248427e-02,   3.1130732151e-03,   1.2000000000e-01,   6.0034852480e+00,   9.8310000000e-01
   2.1808473174e+00,   8.0402221378e-02,   2.8355285465e-03,   1.3000000000e-01,   7.7632813720e+00,   9.8170000000e-01
   2.1863033294e+00,   1.2988415256e-01,   3.6039444024e-03,   1.4000000000e-01,   7.1362607230e+00,   9.8050000000e-01
   2.1946428806e+00,   8.7252203367e-02,   2.9538483943e-03,   1.5000000000e-01,   5.1375180720e+00,   9.8260000000e-01
   2.2165232518e+00,   1.9769001529e-01,   4.4462345337e-03,   1.6000000000e-01,   4.8244991560e+00,   9.8360000000e-01
   2.2150526413e+00,   8.6280041475e-02,   2.9373464466e-03,   1.7000000000e-01,   4.3015090980e+00,   9.8010000000e-01
   2.2219767945e+00,   1.0372390530e-01,   3.2206195879e-03,   1.8000000000e-01,   4.2973915500e+00,   9.7940000000e-01
   2.2493261413e+00,   1.5633240785e-01,   3.9538893238e-03,   1.9000000000e-01,   4.6524948190e+00,   9.8030000000e-01
