# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   5.9167366887e-01,   8.1955708100e-01,   9.8170000000e-01
   6.4859421028e-01,   6.7825215600e-01,   9.8070000000e-01
   7.7234499714e-01,   6.6353677700e-01,   9.7760000000e-01
   8.6073989564e-01,   7.6800233600e-01,   9.8000000000e-01
   8.9469318609e-01,   6.8478938800e-01,   9.7970000000e-01
   9.1717909892e-01,   7.0799535400e-01,   9.8310000000e-01
   9.1370179501e-01,   6.6580081300e-01,   9.7940000000e-01
   9.1596367264e-01,   7.9685432300e-01,   9.7990000000e-01
   9.1938339173e-01,   8.6829527500e-01,   9.7790000000e-01
   9.3261751653e-01,   7.1306085400e-01,   9.7940000000e-01
   9.5252805949e-01,   8.2286422000e-01,   9.8090000000e-01
   9.5147816564e-01,   7.4861150700e-01,   9.7780000000e-01
   9.6513289320e-01,   6.4301110700e-01,   9.7920000000e-01
   9.7357222389e-01,   6.2223119600e-01,   9.7880000000e-01
   9.7857645092e-01,   6.4568703800e-01,   9.7830000000e-01
   9.8214682606e-01,   6.7676349600e-01,   9.8050000000e-01
   9.8798870955e-01,   6.6118263800e-01,   9.7940000000e-01
   9.8672263147e-01,   6.7053359400e-01,   9.8150000000e-01
   9.8797602245e-01,   7.5153082600e-01,   9.7940000000e-01
   9.8655681142e-01,   7.4593667600e-01,   9.8030000000e-01
   9.8642663613e-01,   7.7971189700e-01,   9.8120000000e-01
   9.8249768718e-01,   6.3136181800e-01,   9.8110000000e-01
   9.8319819789e-01,   6.4288564000e-01,   9.8240000000e-01
   9.8528632570e-01,   7.0906254500e-01,   9.7870000000e-01
   9.8471197529e-01,   7.0311330500e-01,   9.8110000000e-01
   9.8713554633e-01,   6.8847448300e-01,   9.7890000000e-01
   9.8722627075e-01,   7.3441233100e-01,   9.7880000000e-01
   9.8868862820e-01,   8.1887975200e-01,   9.7950000000e-01
   9.8921102804e-01,   7.1781302200e-01,   9.7920000000e-01
   9.9154545725e-01,   6.5304222700e-01,   9.8070000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   2.0193003348e+00,   9.8226754288e-02,   3.1341147759e-03,   0.0000000000e+00,   4.7598126650e+00,   9.7630000000e-01
   2.0362870806e+00,   9.1822400560e-02,   3.0302211233e-03,   1.0000000000e-02,   3.5468348090e+00,   9.7950000000e-01
   2.0568293639e+00,   9.9466096711e-02,   3.1538246101e-03,   2.0000000000e-02,   3.5201027140e+00,   9.8010000000e-01
   2.0586508631e+00,   9.3952552095e-02,   3.0651680557e-03,   3.0000000000e-02,   3.5568392500e+00,   9.8010000000e-01
   2.0768349865e+00,   9.1701862179e-02,   3.0282315331e-03,   4.0000000000e-02,   3.5121743390e+00,   9.7940000000e-01
   2.0868120272e+00,   9.4645511079e-02,   3.0764510573e-03,   5.0000000000e-02,   4.3491099430e+00,   9.8100000000e-01
   2.0970062695e+00,   8.9881602546e-02,   2.9980260597e-03,   6.0000000000e-02,   3.9383872180e+00,   9.7660000000e-01
   2.1080567972e+00,   8.3808126723e-02,   2.8949633283e-03,   7.0000000000e-02,   3.9347560860e+00,   9.8040000000e-01
   2.1230893405e+00,   8.7463439355e-02,   2.9574218393e-03,   8.0000000000e-02,   5.1422002030e+00,   9.8170000000e-01
   2.1296714303e+00,   1.0431379936e-01,   3.2297646875e-03,   9.0000000000e-02,   4.0468317480e+00,   9.7900000000e-01
   2.1528887713e+00,   5.9299440811e-01,   7.7006130153e-03,   1.0000000000e-01,   3.9919083820e+00,   9.7940000000e-01
   2.1521132972e+00,   8.5561489871e-02,   2.9250895691e-03,   1.1000000000e-01,   4.8241768490e+00,   9.8070000000e-01
   2.1562303449e+00,   7.0875886813e-02,   2.6622525578e-03,   1.2000000000e-01,   4.5875713280e+00,   9.8080000000e-01
   2.1704756406e+00,   7.5780988287e-02,   2.7528346897e-03,   1.3000000000e-01,   4.4117045970e+00,   9.8300000000e-01
   2.1768459663e+00,   8.2742190529e-02,   2.8764942296e-03,   1.4000000000e-01,   4.5295021490e+00,   9.8050000000e-01
   2.1996877393e+00,   1.7640180863e-01,   4.2000215313e-03,   1.5000000000e-01,   4.3696483450e+00,   9.8300000000e-01
   2.1940674922e+00,   9.3432158289e-02,   3.0566674384e-03,   1.6000000000e-01,   5.9810080310e+00,   9.8320000000e-01
   2.2313934188e+00,   1.9439534712e-01,   4.4090287720e-03,   1.7000000000e-01,   5.1229107950e+00,   9.8140000000e-01
   2.2194800452e+00,   8.6157934612e-02,   2.9352671874e-03,   1.8000000000e-01,   4.8255106210e+00,   9.8010000000e-01
   2.2460252519e+00,   1.7995701360e-01,   4.2421340572e-03,   1.9000000000e-01,   4.8184687170e+00,   9.8450000000e-01
   2.2588535016e+00,   2.8032841099e-01,   5.2946049049e-03,   2.0000000000e-01,   4.4765755300e+00,   9.8180000000e-01
   2.2617169751e+00,   9.9850627194e-02,   3.1599149861e-03,   2.1000000000e-01,   4.5040772450e+00,   9.8260000000e-01
   2.2779292591e+00,   1.8480842248e-01,   4.2989350132e-03,   2.2000000000e-01,   4.4804621090e+00,   9.8240000000e-01
   2.2992331769e+00,   1.5809539994e-01,   3.9761212248e-03,   2.3000000000e-01,   5.5620465710e+00,   9.8110000000e-01
   2.2920357284e+00,   1.6444765874e-01,   4.0552146520e-03,   2.4000000000e-01,   4.8067901980e+00,   9.8270000000e-01
   2.3052924648e+00,   1.8432088345e-01,   4.2932608056e-03,   2.5000000000e-01,   5.0756523860e+00,   9.8100000000e-01
   2.3280120905e+00,   2.4687030060e-01,   4.9686044378e-03,   2.6000000000e-01,   4.2870496040e+00,   9.8350000000e-01
   2.3436029001e+00,   2.2830861707e-01,   4.7781650983e-03,   2.7000000000e-01,   4.2868205050e+00,   9.8000000000e-01
   2.3518658937e+00,   8.6323136619e-01,   9.2910245193e-03,   2.8000000000e-01,   4.0247485830e+00,   9.8040000000e-01
   2.3613751870e+00,   3.1887767606e-01,   5.6469255003e-03,   2.9000000000e-01,   4.0546238900e+00,   9.8240000000e-01
   2.3709575475e+00,   2.8988894541e-01,   5.3841335924e-03,   3.0000000000e-01,   5.1695403850e+00,   9.8210000000e-01
   2.3733604411e+00,   1.8516957785e-01,   4.3031334844e-03,   3.1000000000e-01,   4.0432879210e+00,   9.8290000000e-01
   2.3724731873e+00,   2.2348064302e-01,   4.7273739330e-03,   3.2000000000e-01,   4.2980691880e+00,   9.8410000000e-01
   2.4126045327e+00,   6.9488818939e-01,   8.3359953778e-03,   3.3000000000e-01,   4.0752504450e+00,   9.8320000000e-01
   2.4103157262e+00,   1.9306572444e-01,   4.3939244923e-03,   3.4000000000e-01,   4.1640152830e+00,   9.8330000000e-01
   2.4058260029e+00,   2.6344070490e-01,   5.1326475127e-03,   3.5000000000e-01,   4.4395049580e+00,   9.8260000000e-01
   2.4290032248e+00,   2.7028225098e-01,   5.1988676746e-03,   3.6000000000e-01,   4.2933685390e+00,   9.8270000000e-01
   2.4254652316e+00,   1.8717981239e-01,   4.3264282311e-03,   3.7000000000e-01,   6.3210646720e+00,   9.8220000000e-01
   2.4609994484e+00,   3.2559614744e-01,   5.7061032889e-03,   3.8000000000e-01,   4.4931920230e+00,   9.8210000000e-01
   2.4747462442e+00,   1.1265192800e+00,   1.0613761256e-02,   3.9000000000e-01,   4.0399511820e+00,   9.8260000000e-01
   2.4620399234e+00,   6.9838469966e-01,   8.3569414241e-03,   4.0000000000e-01,   4.0740349440e+00,   9.8280000000e-01
   2.5043410488e+00,   1.0631163933e+00,   1.0310753577e-02,   4.1000000000e-01,   4.0381837600e+00,   9.8500000000e-01
   2.4817607385e+00,   2.1242954603e-01,   4.6090079847e-03,   4.2000000000e-01,   3.9999450320e+00,   9.8320000000e-01
   2.5075462036e+00,   3.7116528948e-01,   6.0923336208e-03,   4.3000000000e-01,   4.0300901200e+00,   9.8160000000e-01
   2.5256772037e+00,   1.7448538777e+00,   1.3209291721e-02,   4.4000000000e-01,   4.1934398800e+00,   9.8200000000e-01
   2.5197804370e+00,   5.6700993036e-01,   7.5300061777e-03,   4.5000000000e-01,   5.5157143600e+00,   9.8180000000e-01
   2.5359980925e+00,   8.4762591073e-01,   9.2066601476e-03,   4.6000000000e-01,   4.0998505460e+00,   9.8400000000e-01
   2.5655047337e+00,   4.8988326659e-01,   6.9991661403e-03,   4.7000000000e-01,   4.1405200330e+00,   9.8150000000e-01
   2.5462568830e+00,   4.0679740511e-01,   6.3780671454e-03,   4.8000000000e-01,   4.0983821690e+00,   9.8280000000e-01
   2.6056933272e+00,   3.4267529004e+00,   1.8511490757e-02,   4.9000000000e-01,   4.0210584220e+00,   9.8180000000e-01
   2.5954471140e+00,   1.1544618642e+00,   1.0744588704e-02,   5.0000000000e-01,   4.0208185140e+00,   9.8280000000e-01
   2.5865255541e+00,   5.1049469228e-01,   7.1448911278e-03,   5.1000000000e-01,   4.0081606150e+00,   9.7980000000e-01
   2.6969056064e+00,   8.4749154067e+01,   9.2059303749e-02,   5.2000000000e-01,   4.1868297650e+00,   9.8300000000e-01
   2.6141901695e+00,   4.8886017177e-01,   6.9918536296e-03,   5.3000000000e-01,   4.9927538330e+00,   9.8250000000e-01
   2.6075011799e+00,   5.6747203746e-01,   7.5330739904e-03,   5.4000000000e-01,   4.0875429540e+00,   9.7840000000e-01
   2.6177816877e+00,   5.0641837746e-01,   7.1163078732e-03,   5.5000000000e-01,   4.0307069920e+00,   9.8080000000e-01
   2.6689364236e+00,   1.2630055327e+00,   1.1238351893e-02,   5.6000000000e-01,   4.0446662520e+00,   9.8250000000e-01
   2.6583912225e+00,   2.0972802379e+00,   1.4481989635e-02,   5.7000000000e-01,   4.1659816780e+00,   9.8170000000e-01
   2.6705072683e+00,   1.1487592285e+00,   1.0718018606e-02,   5.8000000000e-01,   4.1534704490e+00,   9.8140000000e-01
   2.6674341251e+00,   5.1226204211e-01,   7.1572483687e-03,   5.9000000000e-01,   4.2062300140e+00,   9.8130000000e-01
   2.6705893920e+00,   5.6040283378e-01,   7.4860058361e-03,   6.0000000000e-01,   4.2875369220e+00,   9.8100000000e-01
   2.7000590138e+00,   8.2693759892e-01,   9.0936109380e-03,   6.1000000000e-01,   5.7007767270e+00,   9.8150000000e-01
   2.6914659790e+00,   5.2401994190e-01,   7.2389221705e-03,   6.2000000000e-01,   4.4123735180e+00,   9.8240000000e-01
   2.7012708902e+00,   5.0102768774e-01,   7.0783309314e-03,   6.3000000000e-01,   4.6119117090e+00,   9.8510000000e-01
   2.7262399550e+00,   7.2322995993e-01,   8.5042927979e-03,   6.4000000000e-01,   4.4492265210e+00,   9.8130000000e-01
   2.7349792619e+00,   1.7450000174e+00,   1.3209844879e-02,   6.5000000000e-01,   4.4474363300e+00,   9.8170000000e-01
   2.7474467905e+00,   1.3384517078e+00,   1.1569147366e-02,   6.6000000000e-01,   4.5217574400e+00,   9.8130000000e-01
   2.7578342396e+00,   1.0089876116e+00,   1.0044837538e-02,   6.7000000000e-01,   4.4667247000e+00,   9.8200000000e-01
   2.7593457982e+00,   7.5086071754e-01,   8.6652219679e-03,   6.8000000000e-01,   5.5411372210e+00,   9.8100000000e-01
   2.7579879574e+00,   6.4442425135e-01,   8.0276039473e-03,   6.9000000000e-01,   4.4415094390e+00,   9.8210000000e-01
   2.7873223681e+00,   1.1802898593e+00,   1.0864114595e-02,   7.0000000000e-01,   4.4302237390e+00,   9.8160000000e-01
   2.8132246788e+00,   1.3644986803e+00,   1.1681175798e-02,   7.1000000000e-01,   5.1803039390e+00,   9.8310000000e-01
   2.7993448211e+00,   1.4982592287e+00,   1.2240339982e-02,   7.2000000000e-01,   4.4766637200e+00,   9.8290000000e-01
   2.8130439889e+00,   7.1244632235e-01,   8.4406535431e-03,   7.3000000000e-01,   4.5097110170e+00,   9.8030000000e-01
   2.7988238080e+00,   7.4302752574e-01,   8.6199044411e-03,   7.4000000000e-01,   4.4490345110e+00,   9.8210000000e-01
   2.8370879916e+00,   1.1423383836e+00,   1.0688023127e-02,   7.5000000000e-01,   5.6101082830e+00,   9.8130000000e-01
   2.8329576180e+00,   9.6042284538e-01,   9.8001165574e-03,   7.6000000000e-01,   4.4322848630e+00,   9.8120000000e-01
   2.8328828727e+00,   8.5325420293e-01,   9.2371759912e-03,   7.7000000000e-01,   4.5891176370e+00,   9.8410000000e-01
   2.8574036164e+00,   8.8912853022e-01,   9.4293612202e-03,   7.8000000000e-01,   4.4243725640e+00,   9.7960000000e-01
   2.8531493053e+00,   9.2764556559e-01,   9.6314358514e-03,   7.9000000000e-01,   4.4065640080e+00,   9.7990000000e-01
   2.8906343093e+00,   1.8638771235e+00,   1.3652388522e-02,   8.0000000000e-01,   4.3781477480e+00,   9.8240000000e-01
   2.8939518053e+00,   1.9325733321e+00,   1.3901702529e-02,   8.1000000000e-01,   4.2679767800e+00,   9.8330000000e-01
   2.8975873893e+00,   2.4125900432e+00,   1.5532514424e-02,   8.2000000000e-01,   5.6279514080e+00,   9.8090000000e-01
   2.9090933964e+00,   1.1208299999e+00,   1.0586925899e-02,   8.3000000000e-01,   5.2158881470e+00,   9.8000000000e-01
   2.9258271191e+00,   3.3053654839e+00,   1.8180664135e-02,   8.4000000000e-01,   5.8475798220e+00,   9.8210000000e-01
   2.9149884726e+00,   9.9526995272e-01,   9.9763217306e-03,   8.5000000000e-01,   4.8016046930e+00,   9.8050000000e-01
   2.9319430043e+00,   7.8172974724e-01,   8.8415482085e-03,   8.6000000000e-01,   5.0772136320e+00,   9.8220000000e-01
