# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   3.2382498515e-02,   8.2351432600e-01,   9.7730000000e-01
   2.1807853339e-02,   6.9894348700e-01,   9.8060000000e-01
   7.8811486923e-03,   6.6293709900e-01,   9.8170000000e-01
   5.0729079092e-02,   7.0794981200e-01,   9.7880000000e-01
   9.6983471538e-02,   7.4507090600e-01,   9.7770000000e-01
   1.2439126365e-01,   6.9413940700e-01,   9.7950000000e-01
   2.5231899508e-01,   8.0889266500e-01,   9.7770000000e-01
   2.7274085621e-01,   7.4684193800e-01,   9.8070000000e-01
   2.5573782889e-01,   7.3131499700e-01,   9.8010000000e-01
   2.1479738880e-01,   7.2812544100e-01,   9.7930000000e-01
   3.4385331886e-01,   7.1850346800e-01,   9.8040000000e-01
   4.8640779585e-01,   7.2082224200e-01,   9.7900000000e-01
   5.4993451418e-01,   6.9202201900e-01,   9.8010000000e-01
   6.3014919319e-01,   6.8746573800e-01,   9.7890000000e-01
   7.0624257076e-01,   6.5753469200e-01,   9.7660000000e-01
   7.6662327164e-01,   6.7405828900e-01,   9.7800000000e-01
   8.0720431193e-01,   7.2189557100e-01,   9.7800000000e-01
   8.6233805223e-01,   7.1161104900e-01,   9.8250000000e-01
   9.0790730901e-01,   7.7578243000e-01,   9.8210000000e-01
   9.3455900581e-01,   7.8555855000e-01,   9.7850000000e-01
   9.3942561314e-01,   7.6930528000e-01,   9.7920000000e-01
   9.2144422480e-01,   7.8699906000e-01,   9.8010000000e-01
   9.1660588021e-01,   7.8462822200e-01,   9.7990000000e-01
   9.0149276968e-01,   7.5882785300e-01,   9.7860000000e-01
   9.0630225408e-01,   7.4903379300e-01,   9.7930000000e-01
   9.1371095847e-01,   7.2009740000e-01,   9.7920000000e-01
   9.2151375156e-01,   7.4251854300e-01,   9.7960000000e-01
   9.2926353640e-01,   7.4888480100e-01,   9.7980000000e-01
   9.4135024149e-01,   7.3635891000e-01,   9.7700000000e-01
   9.6137642328e-01,   7.3931665500e-01,   9.7830000000e-01
   9.7254134437e-01,   7.9231853800e-01,   9.7930000000e-01
   9.7199130613e-01,   1.8113953450e+00,   9.7910000000e-01
   9.7898069162e-01,   8.6594897900e-01,   9.8060000000e-01
   9.7696730412e-01,   7.1093057000e-01,   9.7950000000e-01
   9.7941337075e-01,   7.5660403900e-01,   9.8080000000e-01
   9.8056516035e-01,   7.3404707300e-01,   9.7810000000e-01
   9.8016332320e-01,   7.2556987600e-01,   9.7980000000e-01
   9.7969922503e-01,   7.5095583600e-01,   9.8100000000e-01
   9.7869704564e-01,   7.2996692600e-01,   9.8000000000e-01
   9.7751278772e-01,   7.3764783800e-01,   9.7970000000e-01
   9.7919368068e-01,   7.2293180500e-01,   9.7680000000e-01
   9.8083939474e-01,   7.2537159200e-01,   9.7870000000e-01
   9.8210102584e-01,   7.4044647200e-01,   9.7870000000e-01
   9.8408893912e-01,   7.3473147200e-01,   9.8080000000e-01
   9.8492944522e-01,   6.7452321500e-01,   9.7870000000e-01
   9.8794901509e-01,   7.2405719500e-01,   9.7800000000e-01
   9.8733277129e-01,   6.8205665500e-01,   9.8150000000e-01
   9.8872656768e-01,   6.7154461300e-01,   9.7860000000e-01
   9.8861071132e-01,   6.7149538000e-01,   9.7890000000e-01
   9.8795151794e-01,   6.3828087400e-01,   9.7830000000e-01
   9.8867638708e-01,   6.8133082500e-01,   9.7780000000e-01
   9.9033009041e-01,   7.0435011700e-01,   9.8030000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   1.7492249157e+00,   6.0569001316e-02,   2.4610770267e-03,   0.0000000000e+00,   3.8668847410e+00,   9.7050000000e-01
   1.7495136066e+00,   5.4765817340e-02,   2.3402097628e-03,   1.0000000000e-02,   3.7674134210e+00,   9.7180000000e-01
   1.7576791529e+00,   5.7600055765e-02,   2.4000011618e-03,   2.0000000000e-02,   3.8259087870e+00,   9.7020000000e-01
   1.7350737977e+00,   4.6289284364e-02,   2.1514944658e-03,   3.0000000000e-02,   3.8261410520e+00,   9.7110000000e-01
   1.7470771331e+00,   4.9497726041e-02,   2.2248084421e-03,   4.0000000000e-02,   4.8022647410e+00,   9.6900000000e-01
   1.7548007461e+00,   5.1887570791e-02,   2.2778843428e-03,   5.0000000000e-02,   3.7734460370e+00,   9.7250000000e-01
   1.7785723373e+00,   4.8926655866e-02,   2.2119370666e-03,   6.0000000000e-02,   4.1756549980e+00,   9.7250000000e-01
   1.8007745064e+00,   4.7529935568e-02,   2.1801361326e-03,   7.0000000000e-02,   4.0701499290e+00,   9.7290000000e-01
   1.8186316277e+00,   7.0576312836e-02,   2.6566202746e-03,   8.0000000000e-02,   4.1249120240e+00,   9.7200000000e-01
   1.8538835799e+00,   6.4668783029e-02,   2.5430057615e-03,   9.0000000000e-02,   4.0299154760e+00,   9.7080000000e-01
   1.8771221835e+00,   1.0979004606e-01,   3.3134581038e-03,   1.0000000000e-01,   4.1814921520e+00,   9.7440000000e-01
   1.8950317810e+00,   6.9761409480e-02,   2.6412385254e-03,   1.1000000000e-01,   4.1153982150e+00,   9.7320000000e-01
   1.9257536465e+00,   8.9673113175e-02,   2.9945469303e-03,   1.2000000000e-01,   5.0560103120e+00,   9.7260000000e-01
   1.9348791016e+00,   5.9799816147e-02,   2.4454000930e-03,   1.3000000000e-01,   4.1924769470e+00,   9.7230000000e-01
   1.9551082532e+00,   9.1277395179e-02,   3.0212149076e-03,   1.4000000000e-01,   4.0031621280e+00,   9.7000000000e-01
   1.9598272056e+00,   7.4214211594e-02,   2.7242285439e-03,   1.5000000000e-01,   3.9886342350e+00,   9.7220000000e-01
   1.9567567827e+00,   6.2294755013e-02,   2.4958917247e-03,   1.6000000000e-01,   4.0558021190e+00,   9.7420000000e-01
   1.9790482062e+00,   9.6576369671e-02,   3.1076738836e-03,   1.7000000000e-01,   4.1147529960e+00,   9.7370000000e-01
   1.9898927544e+00,   9.2458637960e-02,   3.0407012014e-03,   1.8000000000e-01,   4.0803966610e+00,   9.7510000000e-01
   1.9784763188e+00,   8.1897662259e-02,   2.8617767603e-03,   1.9000000000e-01,   4.1502943330e+00,   9.7240000000e-01
   1.9955840434e+00,   1.7453766183e-01,   4.1777704800e-03,   2.0000000000e-01,   4.9111981120e+00,   9.7480000000e-01
   2.0197111311e+00,   6.4230358614e-01,   8.0143844813e-03,   2.1000000000e-01,   4.1496339320e+00,   9.6910000000e-01
   2.0315366631e+00,   2.3997562578e-01,   4.8987307109e-03,   2.2000000000e-01,   4.0158492510e+00,   9.7260000000e-01
   2.0258831246e+00,   1.7939502138e-01,   4.2355049449e-03,   2.3000000000e-01,   4.1669088810e+00,   9.7190000000e-01
   2.0438634424e+00,   2.0345986175e-01,   4.5106525220e-03,   2.4000000000e-01,   4.0432305870e+00,   9.7060000000e-01
   2.0721544227e+00,   2.3932582162e-01,   4.8920938423e-03,   2.5000000000e-01,   4.1755623310e+00,   9.7050000000e-01
   2.0849377765e+00,   6.8962574604e-01,   8.3043708132e-03,   2.6000000000e-01,   4.0894850520e+00,   9.7200000000e-01
