# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   6.9325956608e-01,   7.2373310400e-01,   9.7870000000e-01
   7.5405793108e-01,   6.6880430200e-01,   9.8150000000e-01
   8.3300544659e-01,   7.1999207700e-01,   9.7820000000e-01
   8.8500766515e-01,   7.2002405200e-01,   9.7880000000e-01
   9.2827752342e-01,   7.1029075200e-01,   9.8060000000e-01
   9.6039555112e-01,   6.9469836300e-01,   9.8160000000e-01
   9.6988464805e-01,   7.1748402100e-01,   9.8120000000e-01
   9.6490157750e-01,   7.0649661100e-01,   9.8040000000e-01
   9.5713085673e-01,   7.3770576500e-01,   9.7910000000e-01
   9.5633099319e-01,   1.8149254390e+00,   9.7880000000e-01
   9.4270079102e-01,   7.0091213300e-01,   9.8030000000e-01
   9.4064994081e-01,   6.9697577900e-01,   9.7850000000e-01
   9.6123624194e-01,   7.0358825300e-01,   9.7830000000e-01
   9.6422471276e-01,   7.1310437400e-01,   9.8030000000e-01
   9.6871594348e-01,   6.9964536000e-01,   9.8260000000e-01
   9.7741674490e-01,   6.9757751600e-01,   9.8070000000e-01
   9.8310978594e-01,   6.9366279700e-01,   9.7980000000e-01
   9.8357752242e-01,   6.9904992900e-01,   9.8130000000e-01
   9.8804749013e-01,   7.1021887600e-01,   9.7790000000e-01
   9.9048121404e-01,   7.0263632400e-01,   9.7920000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   2.0341525941e+00,   5.9276121780e-02,   2.4346688025e-03,   0.0000000000e+00,   4.1169040820e+00,   9.8170000000e-01
   2.0250252057e+00,   5.3156941115e-02,   2.3055789103e-03,   1.0000000000e-02,   4.0982470140e+00,   9.8050000000e-01
   2.0596064124e+00,   6.6205392180e-02,   2.5730408504e-03,   2.0000000000e-02,   4.0822078320e+00,   9.8050000000e-01
   2.0742457751e+00,   6.9984164043e-02,   2.6454520227e-03,   3.0000000000e-02,   4.0852067690e+00,   9.7830000000e-01
   2.0655521992e+00,   5.5993237155e-02,   2.3662890177e-03,   4.0000000000e-02,   3.9983794120e+00,   9.8180000000e-01
   2.0863495266e+00,   5.7238106188e-02,   2.3924486659e-03,   5.0000000000e-02,   4.9315358790e+00,   9.8250000000e-01
   2.0959020350e+00,   5.3712477060e-02,   2.3175952421e-03,   6.0000000000e-02,   4.0502021200e+00,   9.8130000000e-01
   2.1035460412e+00,   6.5675832488e-02,   2.5627296480e-03,   7.0000000000e-02,   4.7965027390e+00,   9.8360000000e-01
   2.1202067953e+00,   6.1140416191e-02,   2.4726588158e-03,   8.0000000000e-02,   4.0804484630e+00,   9.7960000000e-01
   2.1216196572e+00,   6.0348074623e-02,   2.4565845115e-03,   9.0000000000e-02,   4.0364228890e+00,   9.8170000000e-01
   2.1337162045e+00,   1.3487191847e-01,   3.6724912316e-03,   1.0000000000e-01,   4.1294929230e+00,   9.8080000000e-01
   2.1374064590e+00,   6.6870386849e-02,   2.5859309126e-03,   1.1000000000e-01,   4.0692825520e+00,   9.7930000000e-01
   2.1568206273e+00,   1.0103661329e-01,   3.1786256981e-03,   1.2000000000e-01,   4.0908226060e+00,   9.8180000000e-01
   2.1718472340e+00,   1.8996324202e-01,   4.3584772802e-03,   1.3000000000e-01,   5.2154946610e+00,   9.8080000000e-01
   2.1746675870e+00,   1.0968667691e-01,   3.3118978987e-03,   1.4000000000e-01,   4.1240220250e+00,   9.8150000000e-01
   2.1961050937e+00,   1.1569166046e-01,   3.4013476808e-03,   1.5000000000e-01,   4.0839127450e+00,   9.8350000000e-01
   2.2020689183e+00,   2.2267644947e-01,   4.7188605560e-03,   1.6000000000e-01,   3.9655507280e+00,   9.7880000000e-01
   2.2211573413e+00,   1.0108067637e-01,   3.1793187379e-03,   1.7000000000e-01,   4.1658394510e+00,   9.7880000000e-01
   2.2248017559e+00,   1.1772354763e-01,   3.4310865280e-03,   1.8000000000e-01,   4.0343468070e+00,   9.8200000000e-01
   2.2448439931e+00,   3.0452410270e-01,   5.5183702549e-03,   1.9000000000e-01,   4.1195700220e+00,   9.8100000000e-01
