# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   3.0780399330e-03,   8.9162807340e+00,   9.3390000000e-01
   4.3881570432e-03,   8.9263219310e+00,   9.3140000000e-01
   1.1799123265e-02,   9.1279282280e+00,   9.3316666667e-01
   1.3652771060e-02,   1.0335937769e+01,   9.3003333333e-01
   4.2587582160e-03,   8.8977823970e+00,   9.3173333333e-01
   1.4810744966e-02,   8.2865754010e+00,   9.2966666667e-01
   1.3820233872e-02,   1.0914584591e+01,   9.3020000000e-01
   2.9908003518e-03,   9.2081214450e+00,   9.2966666667e-01
   1.5305665624e-02,   8.3047206680e+00,   9.3273333333e-01
   1.6598847824e-02,   8.4140897010e+00,   9.3286666667e-01
   3.5110781648e-02,   1.0096232714e+01,   9.3106666667e-01
   4.8613141470e-02,   8.3077752860e+00,   9.3153333333e-01
   3.7406446545e-02,   8.2185363710e+00,   9.2923333333e-01
   3.9794717580e-02,   9.0496797720e+00,   9.3140000000e-01
   5.2048245749e-02,   1.0202924369e+01,   9.3176666667e-01
   5.8740175713e-02,   8.3704221930e+00,   9.3073333333e-01
   8.4650691108e-02,   8.7250914730e+00,   9.3230000000e-01
   3.4791618134e-02,   9.3628757110e+00,   9.3120000000e-01
   1.2415591807e-01,   1.1248577821e+01,   9.3130000000e-01
   8.7432652738e-02,   9.6435712290e+00,   9.3083333333e-01
   1.3277034081e-01,   8.4687859630e+00,   9.3180000000e-01
   1.0654601232e-01,   9.9239058300e+00,   9.3136666667e-01
   9.1265345558e-02,   8.1495044830e+00,   9.3403333333e-01
   1.1006586831e-01,   8.8396168180e+00,   9.3166666667e-01
   9.4462543983e-03,   9.7178059550e+00,   9.3360000000e-01
   1.2430581581e-01,   9.4646985320e+00,   9.3206666667e-01
   1.6276273359e-01,   8.9830422780e+00,   9.3173333333e-01
   1.4214279074e-01,   8.9919106690e+00,   9.3096666667e-01
   7.3422638410e-02,   8.6271574370e+00,   9.3096666667e-01
   2.2156446071e-01,   8.6198076340e+00,   9.2956666667e-01
   1.9588012535e-01,   8.6110850000e+00,   9.3190000000e-01
   2.1487882785e-01,   8.5792844230e+00,   9.3466666667e-01
   1.6804566898e-01,   9.0519806120e+00,   9.2956666667e-01
   1.8095071481e-01,   8.5813848450e+00,   9.3213333333e-01
   2.1755283856e-01,   8.5590832980e+00,   9.3090000000e-01
   2.4501939041e-01,   8.5951959510e+00,   9.3243333333e-01
   2.1065076906e-01,   8.5815412370e+00,   9.3186666667e-01
   1.8882742189e-01,   8.6840551430e+00,   9.3103333333e-01
   9.1330066944e-02,   8.6184852150e+00,   9.3010000000e-01
   1.8192570399e-01,   8.9722410410e+00,   9.3323333333e-01
   4.8407257918e-02,   8.7063432110e+00,   9.3653333333e-01
   9.1768620014e-02,   8.6197706110e+00,   9.3293333333e-01
   1.9575566305e-01,   8.6242843220e+00,   9.3220000000e-01
   2.1949171261e-01,   8.5891840230e+00,   9.3040000000e-01
   1.5044961170e-01,   8.8472103450e+00,   9.3160000000e-01
   2.8252246126e-01,   8.6226105090e+00,   9.3223333333e-01
   2.1801463394e-01,   8.9474375360e+00,   9.3210000000e-01
   2.2665129598e-01,   9.0211359980e+00,   9.3073333333e-01
   1.7240685789e-01,   9.2095102270e+00,   9.3493333333e-01
   2.7685113391e-01,   8.8474461690e+00,   9.3320000000e-01
   2.0453026644e-01,   8.7476396980e+00,   9.3146666667e-01
   2.1249426373e-01,   8.7354680600e+00,   9.3246666667e-01
   2.0167056638e-01,   8.7735375300e+00,   9.3300000000e-01
   2.1245074373e-01,   9.1569002810e+00,   9.3320000000e-01
   2.5174563029e-01,   8.7676615050e+00,   9.3380000000e-01
   4.7327974759e-02,   8.7860549880e+00,   9.3373333333e-01
   1.8637243420e-01,   8.7522865610e+00,   9.3350000000e-01
   2.7072325973e-01,   8.7283580370e+00,   9.2933333333e-01
   1.6445871028e-01,   9.2961611710e+00,   9.3113333333e-01
   1.4020153854e-01,   9.0644980930e+00,   9.3250000000e-01
   1.6866866175e-02,   8.8275888250e+00,   9.3216666667e-01
   2.4678467863e-01,   8.7884090160e+00,   9.3213333333e-01
   1.6465416751e-01,   8.8117603920e+00,   9.3053333333e-01
   2.5320129115e-01,   9.0389730690e+00,   9.3513333333e-01
   3.0069016183e-01,   8.9414992500e+00,   9.3286666667e-01
   2.5606662749e-01,   8.7762278850e+00,   9.3100000000e-01
   2.2900086572e-01,   9.0291955180e+00,   9.3140000000e-01
   3.2205361393e-01,   9.2868400380e+00,   9.3060000000e-01
   9.5130874888e-02,   8.8587621650e+00,   9.3176666667e-01
   2.1983435591e-01,   9.1417137550e+00,   9.3153333333e-01
   2.2844164327e-01,   8.6094331390e+00,   9.3256666667e-01
   2.1255387204e-01,   8.6341328130e+00,   9.3440000000e-01
   1.4641367124e-01,   8.5478407630e+00,   9.3100000000e-01
   3.3593178214e-01,   8.8551064060e+00,   9.3353333333e-01
   1.6956740370e-01,   8.6004349670e+00,   9.3096666667e-01
   3.0741066269e-01,   8.6772880040e+00,   9.3250000000e-01
   2.1850299533e-01,   9.0803051550e+00,   9.3093333333e-01
   2.4765238710e-01,   8.8176083870e+00,   9.3110000000e-01
   2.4138689252e-01,   8.5630540600e+00,   9.3280000000e-01
   1.7838554150e-01,   8.5656034720e+00,   9.3050000000e-01
   1.6461964304e-01,   8.8695817110e+00,   9.3270000000e-01
   2.3440687257e-01,   8.6161948980e+00,   9.3436666667e-01
   2.3939799930e-01,   8.5038007930e+00,   9.3306666667e-01
   1.9756710918e-01,   8.5524653660e+00,   9.3303333333e-01
   2.0382539744e-01,   8.5427928040e+00,   9.3350000000e-01
   2.1629540759e-01,   8.8262830360e+00,   9.3066666667e-01
   2.4786119509e-01,   8.9598708600e+00,   9.3416666667e-01
   2.8789014783e-01,   8.7969776640e+00,   9.3383333333e-01
   2.7043786030e-01,   8.5307990670e+00,   9.3000000000e-01
   3.0384181279e-01,   8.5410063690e+00,   9.3083333333e-01
   2.6898435131e-01,   8.5294828710e+00,   9.3346666667e-01
   1.9455358581e-01,   9.3883365580e+00,   9.3200000000e-01
   1.4540633963e-01,   8.5907195030e+00,   9.3176666667e-01
