# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   9.9049452227e-02,   6.6086352000e-01,   9.7840000000e-01
   1.3162259682e-01,   6.9054707700e-01,   9.7730000000e-01
   1.7064378800e-01,   6.6243863800e-01,   9.8140000000e-01
   1.9180487201e-01,   6.7731262400e-01,   9.7970000000e-01
   2.2401630675e-01,   6.4759490900e-01,   9.7990000000e-01
   2.9302922456e-01,   6.4292678700e-01,   9.7910000000e-01
   3.8203368339e-01,   6.4194696900e-01,   9.7900000000e-01
   4.5289645863e-01,   6.4987841000e-01,   9.7920000000e-01
   5.1882799596e-01,   6.5233845300e-01,   9.7980000000e-01
   6.2478833132e-01,   6.4232858000e-01,   9.8020000000e-01
   7.0093716375e-01,   6.4867376000e-01,   9.8010000000e-01
   7.8237439256e-01,   6.4972243200e-01,   9.7730000000e-01
   7.8932540111e-01,   6.4234676400e-01,   9.7930000000e-01
   7.8862948951e-01,   6.5015824600e-01,   9.7890000000e-01
   7.9930813195e-01,   6.7108076000e-01,   9.7650000000e-01
   8.0171301772e-01,   6.5278788500e-01,   9.7970000000e-01
   8.4195777278e-01,   6.5744062300e-01,   9.8010000000e-01
   8.7290825036e-01,   6.6185384500e-01,   9.8080000000e-01
   8.7889996798e-01,   6.5268777200e-01,   9.7850000000e-01
   8.9570988385e-01,   6.5309905400e-01,   9.8070000000e-01
   8.9438636712e-01,   6.6284198200e-01,   9.8180000000e-01
   9.0479409797e-01,   6.5028867400e-01,   9.7970000000e-01
   9.0684934610e-01,   6.5454855200e-01,   9.7770000000e-01
   9.2909923542e-01,   6.6011265700e-01,   9.7860000000e-01
   9.3519850198e-01,   6.6437663100e-01,   9.7790000000e-01
   9.4232294473e-01,   6.6508028000e-01,   9.7990000000e-01
   9.5091578838e-01,   6.6504986600e-01,   9.7620000000e-01
   9.5638142456e-01,   6.5125188200e-01,   9.7760000000e-01
   9.6022543175e-01,   6.5719476400e-01,   9.8090000000e-01
   9.6579870230e-01,   6.6163571300e-01,   9.7900000000e-01
   9.7187059925e-01,   6.6254217500e-01,   9.7840000000e-01
   9.7552255066e-01,   6.8406097900e-01,   9.7980000000e-01
   9.7881625547e-01,   6.6319612300e-01,   9.7690000000e-01
   9.7758714082e-01,   6.8454636100e-01,   9.8080000000e-01
   9.7614348300e-01,   6.6720265300e-01,   9.7960000000e-01
   9.7931175624e-01,   6.5819468200e-01,   9.8000000000e-01
   9.8307623725e-01,   6.6198445200e-01,   9.7990000000e-01
   9.8033170742e-01,   6.5605827300e-01,   9.7820000000e-01
   9.8176771121e-01,   6.6273328500e-01,   9.8060000000e-01
   9.8253534285e-01,   6.5633968500e-01,   9.7860000000e-01
   9.8498503642e-01,   6.5957928100e-01,   9.7920000000e-01
   9.8375962845e-01,   6.5515514500e-01,   9.7850000000e-01
   9.8431300117e-01,   6.6262107800e-01,   9.7910000000e-01
   9.8290613645e-01,   6.5532698700e-01,   9.7880000000e-01
   9.8488921237e-01,   6.6209270300e-01,   9.7900000000e-01
   9.8507366413e-01,   6.5831701200e-01,   9.8070000000e-01
   9.8797182486e-01,   6.6597824300e-01,   9.7970000000e-01
   9.8675085751e-01,   6.6106743300e-01,   9.7840000000e-01
   9.8905546400e-01,   6.7022913600e-01,   9.7960000000e-01
   9.8765668064e-01,   6.6344867900e-01,   9.8100000000e-01
   9.8974083585e-01,   6.6301811700e-01,   9.8080000000e-01
   9.8932814408e-01,   6.7134896800e-01,   9.7710000000e-01
   9.9053856288e-01,   6.6632595700e-01,   9.7910000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   2.0412360965e+00,   1.5547684162e-01,   3.9430551812e-03,   0.0000000000e+00,   3.5893556280e+00,   9.7560000000e-01
   2.0229613573e+00,   1.5073515972e-01,   3.8824626170e-03,   1.0000000000e-03,   3.6451165220e+00,   9.8010000000e-01
   2.0387394865e+00,   1.6252171193e-01,   4.0313981685e-03,   2.0000000000e-03,   3.6751739700e+00,   9.7660000000e-01
   2.0333071995e+00,   1.4549364924e-01,   3.8143629774e-03,   3.0000000000e-03,   3.6450768220e+00,   9.8110000000e-01
   2.0456245198e+00,   1.2822188121e-01,   3.5808083055e-03,   4.0000000000e-03,   3.6542219520e+00,   9.7680000000e-01
   2.0260181645e+00,   1.1941292701e-01,   3.4556175571e-03,   5.0000000000e-03,   3.6461905970e+00,   9.8070000000e-01
   2.0245926595e+00,   1.0568079751e-01,   3.2508583099e-03,   6.0000000000e-03,   3.6238834940e+00,   9.7910000000e-01
   2.0370721947e+00,   1.0881815078e-01,   3.2987596272e-03,   7.0000000000e-03,   3.6344441130e+00,   9.7830000000e-01
   2.0324270932e+00,   9.5808306308e-02,   3.0952916875e-03,   8.0000000000e-03,   3.6618363830e+00,   9.8040000000e-01
   2.0328353866e+00,   8.9214700261e-02,   2.9868829950e-03,   9.0000000000e-03,   4.0594332000e+00,   9.7980000000e-01
   2.0411501897e+00,   8.8326293896e-02,   2.9719739887e-03,   1.0000000000e-02,   4.5491542210e+00,   9.7950000000e-01
   2.0264733062e+00,   7.7612978861e-02,   2.7859106027e-03,   1.1000000000e-02,   4.2442127350e+00,   9.7640000000e-01
   2.0333791027e+00,   7.9647615490e-02,   2.8221909129e-03,   1.2000000000e-02,   4.1782629440e+00,   9.8080000000e-01
   2.0485303368e+00,   8.0292071604e-02,   2.8335855661e-03,   1.3000000000e-02,   4.1111612660e+00,   9.7910000000e-01
   2.0432379770e+00,   7.8457220950e-02,   2.8010216163e-03,   1.4000000000e-02,   4.0581312210e+00,   9.7790000000e-01
   2.0310013528e+00,   7.0991020389e-02,   2.6644140142e-03,   1.5000000000e-02,   4.1593670940e+00,   9.8200000000e-01
   2.0229757903e+00,   7.4430385860e-02,   2.7281932824e-03,   1.6000000000e-02,   4.1577422660e+00,   9.8280000000e-01
   2.0419287464e+00,   7.0151198043e-02,   2.6486071442e-03,   1.7000000000e-02,   4.0097460100e+00,   9.8020000000e-01
   2.0522357995e+00,   8.3755012109e-02,   2.8940458205e-03,   1.8000000000e-02,   4.1025809890e+00,   9.7920000000e-01
   2.0482327241e+00,   6.6773986933e-02,   2.5840663098e-03,   1.9000000000e-02,   4.0593312100e+00,   9.7920000000e-01
   2.0404876294e+00,   6.2273951333e-02,   2.4954749314e-03,   2.0000000000e-02,   4.0410546240e+00,   9.8240000000e-01
   2.0404951596e+00,   6.4082187665e-02,   2.5314459833e-03,   2.1000000000e-02,   4.0465647940e+00,   9.8160000000e-01
   2.0467046197e+00,   5.7187972768e-02,   2.3914006935e-03,   2.2000000000e-02,   4.0011453960e+00,   9.8030000000e-01
   2.0472898771e+00,   6.9807233757e-02,   2.6421058600e-03,   2.3000000000e-02,   4.0207494280e+00,   9.7790000000e-01
   2.0419819436e+00,   6.7355559313e-02,   2.5952949604e-03,   2.4000000000e-02,   4.0192866980e+00,   9.8230000000e-01
   2.0465657034e+00,   6.4452151681e-02,   2.5387428322e-03,   2.5000000000e-02,   4.1049251500e+00,   9.8080000000e-01
   2.0490022109e+00,   5.9011826315e-02,   2.4292349889e-03,   2.6000000000e-02,   4.2412693040e+00,   9.7830000000e-01
