# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   2.4597692522e-01,   6.3086000400e-01,   9.7950000000e-01
   3.1527643285e-01,   6.2891000400e-01,   9.7950000000e-01
   4.7195537151e-01,   6.4429587000e-01,   9.7890000000e-01
   5.5535560346e-01,   6.2407059900e-01,   9.7890000000e-01
   6.4944108839e-01,   6.1399249100e-01,   9.7920000000e-01
   7.2526784118e-01,   6.1211334000e-01,   9.8100000000e-01
   7.4683537427e-01,   6.0763556100e-01,   9.7800000000e-01
   7.8096839624e-01,   6.1543899100e-01,   9.8090000000e-01
   8.3261272061e-01,   6.2233125400e-01,   9.7770000000e-01
   8.4799672121e-01,   6.1189677200e-01,   9.7970000000e-01
   8.7415369240e-01,   6.1377746900e-01,   9.7950000000e-01
   9.0075774962e-01,   6.2046367100e-01,   9.7830000000e-01
   9.3285634354e-01,   6.2068555300e-01,   9.8020000000e-01
   9.5577623260e-01,   6.4259033400e-01,   9.7810000000e-01
   9.6151923777e-01,   6.1933568500e-01,   9.7710000000e-01
   9.5495006568e-01,   6.1820662100e-01,   9.8020000000e-01
   9.5486922404e-01,   6.2241011500e-01,   9.8010000000e-01
   9.4674213261e-01,   6.1277674400e-01,   9.8030000000e-01
   9.5251034046e-01,   6.2892800800e-01,   9.7820000000e-01
   9.5472824274e-01,   6.1802043500e-01,   9.7800000000e-01
   9.6133418277e-01,   6.2028400000e-01,   9.7930000000e-01
   9.6236063086e-01,   6.1378309300e-01,   9.7900000000e-01
   9.6661845236e-01,   6.1300274700e-01,   9.7880000000e-01
   9.6271337651e-01,   6.1995261200e-01,   9.7910000000e-01
   9.6768867832e-01,   6.2346674600e-01,   9.7910000000e-01
   9.7072825100e-01,   6.2735199100e-01,   9.7850000000e-01
   9.7271843096e-01,   6.1769052000e-01,   9.8120000000e-01
   9.7562562160e-01,   6.1438774200e-01,   9.7730000000e-01
   9.7995132742e-01,   6.1866862900e-01,   9.8020000000e-01
   9.8093785528e-01,   6.2568512200e-01,   9.7980000000e-01
   9.7661339393e-01,   6.2111150600e-01,   9.8030000000e-01
   9.8545345695e-01,   6.1475626000e-01,   9.7950000000e-01
   9.8729131277e-01,   6.1602721000e-01,   9.7800000000e-01
   9.8716962600e-01,   6.1964982800e-01,   9.7840000000e-01
   9.8623254411e-01,   6.2458848700e-01,   9.7800000000e-01
   9.8620500351e-01,   6.3022882100e-01,   9.8110000000e-01
   9.8634962332e-01,   6.2284822100e-01,   9.8040000000e-01
   9.8784846268e-01,   6.2440092800e-01,   9.8180000000e-01
   9.8656710019e-01,   6.1598130700e-01,   9.7870000000e-01
   9.8570412644e-01,   6.2177626800e-01,   9.8000000000e-01
   9.8668392718e-01,   6.3596522600e-01,   9.7920000000e-01
   9.8885391770e-01,   6.2511057100e-01,   9.8030000000e-01
   9.8732069254e-01,   6.3122986200e-01,   9.7810000000e-01
   9.8735146564e-01,   6.4042920300e-01,   9.7750000000e-01
   9.8741365322e-01,   6.7035138500e-01,   9.8030000000e-01
   9.8966202964e-01,   6.9385465100e-01,   9.7810000000e-01
   9.9089119419e-01,   6.6843577000e-01,   9.7980000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
   2.0386895556e+00,   1.1853172265e-01,   3.4428436307e-03,   0.0000000000e+00,   3.8662072190e+00,   9.7790000000e-01
   2.0328511445e+00,   1.0389977289e-01,   3.2233487694e-03,   0.0000000000e+00,   3.6484789620e+00,   9.7900000000e-01
   2.0329229963e+00,   1.0494482759e-01,   3.2395189085e-03,   0.0000000000e+00,   3.5940100660e+00,   9.8050000000e-01
   2.0237168751e+00,   8.9188318263e-02,   2.9864413315e-03,   0.0000000000e+00,   3.6072106450e+00,   9.7740000000e-01
   2.0177413920e+00,   9.5482548867e-02,   3.0900250625e-03,   0.0000000000e+00,   3.5696761610e+00,   9.7860000000e-01
   2.0299907378e+00,   9.4251552283e-02,   3.0700415678e-03,   0.0000000000e+00,   3.5740912340e+00,   9.7740000000e-01
   2.0192607477e+00,   9.4359883332e-02,   3.0718053866e-03,   0.0000000000e+00,   3.6677850160e+00,   9.7850000000e-01
   2.0312854992e+00,   9.6690355067e-02,   3.1095072772e-03,   0.0000000000e+00,   3.6455720360e+00,   9.8030000000e-01
   2.0193782631e+00,   8.6542756033e-02,   2.9418150185e-03,   0.0000000000e+00,   3.8069210690e+00,   9.7790000000e-01
   2.0308282386e+00,   9.0409876749e-02,   3.0068235191e-03,   0.0000000000e+00,   3.8773971610e+00,   9.7990000000e-01
   2.0309622374e+00,   7.6536872112e-02,   2.7665298139e-03,   0.0000000000e+00,   3.8471168300e+00,   9.8010000000e-01
   2.0235950145e+00,   7.3048529781e-02,   2.7027491519e-03,   0.0000000000e+00,   3.9752963210e+00,   9.8170000000e-01
   2.0321267380e+00,   7.2345197308e-02,   2.6897062536e-03,   0.0000000000e+00,   3.9728121930e+00,   9.8100000000e-01
   2.0103720335e+00,   5.4286562178e-02,   2.3299476856e-03,   0.0000000000e+00,   4.2206308330e+00,   9.8010000000e-01
   2.0269992604e+00,   6.8709536959e-02,   2.6212504069e-03,   0.0000000000e+00,   4.4858098770e+00,   9.7860000000e-01
   2.0097317362e+00,   5.7542578933e-02,   2.3988034295e-03,   0.0000000000e+00,   4.6036244520e+00,   9.8020000000e-01
   2.0090743148e+00,   5.5996939517e-02,   2.3663672479e-03,   0.0000000000e+00,   4.4686594980e+00,   9.7750000000e-01
   2.0053264015e+00,   5.4850860859e-02,   2.3420260643e-03,   0.0000000000e+00,   4.2853804950e+00,   9.7900000000e-01
   2.0167407343e+00,   5.3717301573e-02,   2.3176993242e-03,   0.0000000000e+00,   4.3072921800e+00,   9.8190000000e-01
   2.0159765243e+00,   5.2712460722e-02,   2.2959194394e-03,   0.0000000000e+00,   4.1858290320e+00,   9.7660000000e-01
   2.0231468239e+00,   5.0552762958e-02,   2.2483941594e-03,   0.0000000000e+00,   4.3853248770e+00,   9.8050000000e-01
   2.0337932161e+00,   5.6745434851e-02,   2.3821300311e-03,   0.0000000000e+00,   4.4866159990e+00,   9.7940000000e-01
   2.0174990864e+00,   4.4598536425e-02,   2.1118365568e-03,   0.0000000000e+00,   4.3913659800e+00,   9.8170000000e-01
   2.0212973321e+00,   4.7807946901e-02,   2.1865028447e-03,   0.0000000000e+00,   4.9829564710e+00,   9.7900000000e-01
