# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 7.227397649e-01, 1.003031583e-02, 1.483428571e-02, 2.058729547e-04
1.050000000e-01, 6.884561595e-01, 3.700094006e-03, 9.891428571e-02, 5.316128713e-04
1.750000000e-01, 6.737258059e-01, 2.221715393e-03, 2.627371429e-01, 8.664164997e-04
2.450000000e-01, 6.283641819e-01, 1.537547289e-03, 4.771971429e-01, 1.167655946e-03
3.150000000e-01, 6.283512916e-01, 1.197457123e-03, 7.867142857e-01, 1.499251514e-03
3.850000000e-01, 6.213069793e-01, 9.748909821e-04, 1.160465714e+00, 1.820883392e-03
4.550000000e-01, 5.881692386e-01, 8.029212023e-04, 1.533171429e+00, 2.092961967e-03
5.250000000e-01, 5.702972962e-01, 6.853792267e-04, 1.978211429e+00, 2.377400398e-03
5.950000000e-01, 5.365970564e-01, 5.867024600e-04, 2.389971429e+00, 2.613137921e-03
6.650000000e-01, 5.131941749e-01, 5.134283516e-04, 2.854537143e+00, 2.855839703e-03
7.350000000e-01, 4.872384481e-01, 4.526686436e-04, 3.310200000e+00, 3.075339702e-03
8.050000000e-01, 4.534820140e-01, 3.987570856e-04, 3.695177143e+00, 3.249253603e-03
8.750000000e-01, 4.283850884e-01, 3.565778683e-04, 4.123745714e+00, 3.432510832e-03
9.450000000e-01, 4.049161122e-01, 3.210055189e-04, 4.546080000e+00, 3.603997780e-03
1.015000000e+00, 3.761346208e-01, 2.880584425e-04, 4.871440000e+00, 3.730737193e-03
1.085000000e+00, 3.515546530e-01, 2.605268125e-04, 5.202508571e+00, 3.855426073e-03
1.155000000e+00, 3.258992946e-01, 2.356428763e-04, 5.465000000e+00, 3.951491581e-03
1.225000000e+00, 3.014131071e-01, 2.136716700e-04, 5.685417143e+00, 4.030390673e-03
1.295000000e+00, 2.771225057e-01, 1.938091648e-04, 5.841534286e+00, 4.085351632e-03
1.365000000e+00, 2.527734525e-01, 1.756089075e-04, 5.919728571e+00, 4.112603823e-03
1.435000000e+00, 2.305324889e-01, 1.595262511e-04, 5.966668571e+00, 4.128876904e-03
1.505000000e+00, 2.092237773e-01, 1.449075193e-04, 5.956240000e+00, 4.125267091e-03
1.575000000e+00, 1.883492388e-01, 1.313792206e-04, 5.872274286e+00, 4.096086734e-03
1.645000000e+00, 1.690869389e-01, 1.191838499e-04, 5.750654286e+00, 4.053448016e-03
1.715000000e+00, 1.510344838e-01, 1.080450400e-04, 5.583088571e+00, 3.993955637e-03
1.785000000e+00, 1.345730718e-01, 9.798826802e-05, 5.388900000e+00, 3.923882917e-03
1.855000000e+00, 1.181722826e-01, 8.835867152e-05, 5.110517143e+00, 3.821187976e-03
1.925000000e+00, 1.041833415e-01, 7.994761758e-05, 4.851962857e+00, 3.723271548e-03
1.995000000e+00, 9.000865861e-02, 7.170311338e-05, 4.502197143e+00, 3.586561084e-03
2.065000000e+00, 7.791729470e-02, 6.445210856e-05, 4.175662857e+00, 3.454050565e-03
2.135000000e+00, 6.716641409e-02, 5.787883704e-05, 3.847660000e+00, 3.315616728e-03
2.205000000e+00, 5.735174110e-02, 5.178542195e-05, 3.504371429e+00, 3.164251854e-03
2.275000000e+00, 4.833206498e-02, 4.607657496e-05, 3.143708571e+00, 2.997002584e-03
2.345000000e+00, 4.068225203e-02, 4.101139745e-05, 2.811465714e+00, 2.834212269e-03
2.415000000e+00, 3.399743182e-02, 3.640422281e-05, 2.491842857e+00, 2.668248680e-03
2.485000000e+00, 2.849345258e-02, 3.238864897e-05, 2.211242857e+00, 2.513530731e-03
2.555000000e+00, 2.336813150e-02, 2.852781786e-05, 1.917091429e+00, 2.340385456e-03
2.625000000e+00, 1.917108805e-02, 2.515024681e-05, 1.660125714e+00, 2.177892634e-03
2.695000000e+00, 1.552626759e-02, 2.204568521e-05, 1.417160000e+00, 2.012219812e-03
2.765000000e+00, 1.247657714e-02, 1.926202937e-05, 1.198722857e+00, 1.850654600e-03
2.835000000e+00, 1.008405398e-02, 1.688941206e-05, 1.018528571e+00, 1.705896138e-03
2.905000000e+00, 7.920160394e-03, 1.460734850e-05, 8.399571429e-01, 1.549153818e-03
2.975000000e+00, 6.191830166e-03, 1.261169838e-05, 6.886885714e-01, 1.402740757e-03
3.045000000e+00, 4.925176861e-03, 1.098942834e-05, 5.738857143e-01, 1.280497352e-03
3.115000000e+00, 3.869812816e-03, 9.522233707e-06, 4.718828571e-01, 1.161135967e-03
3.185000000e+00, 2.943156148e-03, 8.121748194e-06, 3.751971429e-01, 1.035370386e-03
3.255000000e+00, 2.268506262e-03, 6.977047432e-06, 3.020428571e-01, 9.289669487e-04
3.325000000e+00, 1.666256252e-03, 5.853724408e-06, 2.315000000e-01, 8.132825901e-04
3.395000000e+00, 1.281859045e-03, 5.028445072e-06, 1.856714286e-01, 7.283473045e-04
3.465000000e+00, 9.781485191e-04, 4.303807348e-06, 1.475828571e-01, 6.493576104e-04
